,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,pathway_id
0,6.510953750474892e-10,6.014252032612462e-10,6.98330366939846e-10,5.684257118930245e-10,7.00529072301995e-10,7.569749278764662e-10,7.357554031334225e-10,6.050932451727464e-10,6.293364149933996e-10,7.354727553162653e-10,5.889623193796913e-10,6.030132704123692e-10,6.034319837191468e-10,6.632365177302321e-10,7.615681937750665e-10,6.473841658340575e-10,6.165758115134681e-10,6.134712971072725e-10,6.018608574438369e-10,5.98447759378242e-10,7.324599110935811e-10,6.384014285536769e-10,6.229535595629281e-10,6.393767560962514e-10,7.42340381812996e-10,7.315285782782126e-10,6.762932491640883e-10,5.264511648373993e-10,5.31914717953322e-10,5.905681704282116e-10,7.624365913763351e-10,7.40303186909382e-10,7.358221126544797e-10,5.530116885361322e-10,5.407611402031268e-10,7.150743106124505e-10,5.65672928747558e-10,5.737303304040951e-10,5.828837684737405e-10,5.854149994724587e-10,5.438117315996778e-10,5.874153911893743e-10,5.979831847122396e-10,6.72361549173829e-10,6.728914526770476e-10,7.460031275460513e-10,7.054804212636813e-10,6.344217149134486e-10,6.456431251518372e-10,6.15156614637361e-10,6.477245610401796e-10,7.574894468514122e-10,5.961074608659573e-10,7.001720941143257e-10,5.587497391660847e-10,4.9219892779836e-10,5.949640182381015e-10,7.005011877418934e-10,6.85973717732526e-10,6.095840121237239e-10,7.781090029010103e-10,5.425181761322746e-10,6.057729783193613e-10,6.942881662742084e-10,5.990699240830251e-10,7.536144222090374e-10,6.885141743588855e-10,6.874321877582794e-10,7.234614313906622e-10,6.951146623372099e-10,6.128529953621548e-10,7.56049190032003e-10,6.564492532715916e-10,5.491034741257689e-10,6.031043512195443e-10,6.980625438255278e-10,7.527399453304032e-10,7.416421202504081e-10,7.326996739840988e-10,5.86278647586982e-10,6.101296531243299e-10,7.151629518284382e-10,5.78764675538501e-10,7.800942259754144e-10,6.223840923261872e-10,7.660201636742743e-10,7.294383805472292e-10,4.948524798335242e-10,6.468939409845392e-10,6.804332994353289e-10,7.0231708250229e-10,7.501965089880244e-10,6.7369367103179e-10,5.799983928905754e-10,7.544803588768005e-10,6.451017887327197e-10,6.265435312730119e-10,7.717033817834663e-10,6.597875612859657e-10,5.976156535688842e-10,7.753442549233967e-10,5.44402229228818e-10,5.496267746439577e-10,7.369704016303731e-10,7.328747220394895e-10,7.324093889003186e-10,7.403353005319987e-10,6.08431613930643e-10,5.575778037220474e-10,6.262796121612793e-10,6.136732660349942e-10,7.109005279858139e-10,7.330226210239121e-10,path:hsa00190
1,7.271248993149442e-10,6.734768691926452e-10,7.803932371124094e-10,6.370633351149737e-10,7.826473863706598e-10,8.424550926711464e-10,8.221209822525012e-10,6.748745733688981e-10,6.99332351695031e-10,8.213019601052996e-10,6.624501898808847e-10,6.721845510872057e-10,6.78056595360158e-10,7.415551984044401e-10,8.469080283923562e-10,7.227516783028847e-10,6.950798640150858e-10,6.880980252496015e-10,6.718946506576753e-10,6.685388859400646e-10,8.181372684050816e-10,7.170860002961428e-10,6.985293712553436e-10,7.130160130808977e-10,8.291482995288489e-10,8.20661217733039e-10,7.563954522415065e-10,5.882064745998195e-10,6.015432485283335e-10,6.592695182017052e-10,8.526358747672736e-10,8.299040267617964e-10,8.244473924972184e-10,6.228474655838244e-10,6.057923449959401e-10,8.048582453952236e-10,6.359565460313286e-10,6.450114687792029e-10,6.487589551732654e-10,6.554120122373767e-10,6.114231000742517e-10,6.590824343920011e-10,6.740687842800835e-10,7.497056898370189e-10,7.564080988786468e-10,8.34391237261638e-10,7.878621218711436e-10,7.056245127784661e-10,7.283173329067891e-10,6.845341735823862e-10,7.20610762357651e-10,8.4696535878525e-10,6.643227370872163e-10,7.862312998173528e-10,6.284956937004546e-10,5.515595448661251e-10,6.670716754139884e-10,7.850199464242462e-10,7.695385875596751e-10,6.810189408661305e-10,8.689008930346813e-10,6.091143750597514e-10,6.769347097874555e-10,7.769568317573648e-10,6.672618456513045e-10,8.418074212688967e-10,7.684050430066682e-10,7.676335286964849e-10,8.096942067830882e-10,7.76830025878924e-10,6.912570147748062e-10,8.462898786702157e-10,7.299401379648575e-10,6.197800310756963e-10,6.760576010725953e-10,7.803301582480883e-10,8.431782658088559e-10,8.270034406723411e-10,8.196481364497302e-10,6.493047050196965e-10,6.845892508831235e-10,7.982705357197284e-10,6.49531109917178e-10,8.717531533838011e-10,7.024282546398459e-10,8.573592432758509e-10,8.174813562411077e-10,5.554722785945366e-10,7.262217797313835e-10,7.634551770077809e-10,7.871462404186679e-10,8.368957806759847e-10,7.507915413673506e-10,6.521725248220154e-10,8.42546720990879e-10,7.262619881670995e-10,6.971933030385031e-10,8.597327909862734e-10,7.405391850149e-10,6.705759590282907e-10,8.684057528850188e-10,6.0942700317061e-10,6.117528231360465e-10,8.23683918330965e-10,8.209778080453446e-10,8.194155201166793e-10,8.259432219233273e-10,6.799187605956095e-10,6.254155006721853e-10,7.028516893600115e-10,6.854942300393202e-10,7.953581594767948e-10,8.170898583306578e-10,path:hsa00072
2,6.443079506126658e-10,5.990317550791432e-10,6.932390851509626e-10,5.656705847407721e-10,6.984901787687165e-10,7.50895944925374e-10,7.32773676558487e-10,6.018218341999722e-10,6.264493574713576e-10,7.32937883080858e-10,5.876629761308634e-10,5.967947380661627e-10,5.986536848434876e-10,6.608947040957399e-10,7.54921761074786e-10,6.460656968579557e-10,6.111168767293586e-10,6.091269453935423e-10,5.987853552747816e-10,5.963617980062928e-10,7.314721386078976e-10,6.371017508506517e-10,6.207495830129129e-10,6.332235088081457e-10,7.376035156742468e-10,7.299273301476086e-10,6.707942148995356e-10,5.228082113686451e-10,5.295876996531789e-10,5.86973622523713e-10,7.592761274435001e-10,7.378818942980331e-10,7.33080604637685e-10,5.450429859204974e-10,5.359379773112077e-10,7.101492533807292e-10,5.673481996091844e-10,5.72138536738215e-10,5.751977009063544e-10,5.837469339235199e-10,5.415529221640766e-10,5.809554873437907e-10,5.959957305446842e-10,6.700468193064586e-10,6.699571671577386e-10,7.378559854529121e-10,6.983169873126305e-10,6.322487378075714e-10,6.414925199183678e-10,6.153204453889942e-10,6.464064727599656e-10,7.56111175968958e-10,5.922671545211324e-10,6.949382750057242e-10,5.579342824629792e-10,4.911793628281101e-10,5.916061188873225e-10,6.955934635738913e-10,6.813023520816064e-10,6.091171545592841e-10,7.718521796990516e-10,5.372823951720796e-10,6.043297966902402e-10,6.927153183851986e-10,5.929403558237798e-10,7.524972950248338e-10,6.847551729448419e-10,6.859918701953483e-10,7.20305563535257e-10,6.901083758760942e-10,6.084131404209765e-10,7.55681991062683e-10,6.528139564964427e-10,5.45670409500271e-10,6.002238363038355e-10,6.958076530767572e-10,7.530829961046796e-10,7.351231767111066e-10,7.283597249900404e-10,5.822296203892084e-10,6.067716581891502e-10,7.131006326379277e-10,5.781745817716973e-10,7.765895888812405e-10,6.162636148001851e-10,7.645696765877397e-10,7.277275474544032e-10,4.888636719179574e-10,6.405644825758858e-10,6.762980697918959e-10,6.973394471006153e-10,7.470272965286956e-10,6.706672855639902e-10,5.737087010586781e-10,7.523293333488682e-10,6.391907736596347e-10,6.244109692220323e-10,7.671836321462513e-10,6.516357041821343e-10,5.939036213080892e-10,7.748155274366568e-10,5.426456418531862e-10,5.458929666513296e-10,7.318709222021939e-10,7.261917925151096e-10,7.318406237711355e-10,7.39279291546207e-10,6.05242178986001e-10,5.54182301030036e-10,6.239318270554923e-10,6.115486079384137e-10,7.066887421686935e-10,7.281527800186528e-10,path:hsa01040
3,1.4605180420093974e-07,1.3804539968873245e-07,1.5895393415859194e-07,1.287377387000341e-07,1.6589300307445184e-07,1.7712333466398763e-07,1.6989190448358357e-07,1.4275654624079678e-07,1.4955715658724284e-07,1.7216251853221058e-07,1.287796498637469e-07,1.393237335258194e-07,1.3619880316613047e-07,1.501165168069942e-07,1.755402818269004e-07,1.5496181026826365e-07,1.35842794061758e-07,1.3652129732121117e-07,1.3866545344386952e-07,1.3875679254543029e-07,1.692497066096611e-07,1.4169022101489934e-07,1.39601677017896e-07,1.4636467081370243e-07,1.7096473434900493e-07,1.6501189108080146e-07,1.5537336139099463e-07,1.1425429266361273e-07,1.1403471850407792e-07,1.342343607806737e-07,1.7764107661855336e-07,1.7173985454534035e-07,1.704367695340369e-07,1.2077668089166428e-07,1.2186347650787377e-07,1.6018874031545541e-07,1.287210806259539e-07,1.2952721624625673e-07,1.2942406063465673e-07,1.3280081270164126e-07,1.2263787962363002e-07,1.2871895768095126e-07,1.304050172782714e-07,1.5744990630448913e-07,1.5183535007218971e-07,1.7130806098696215e-07,1.601209338196005e-07,1.463784122660592e-07,1.407059223648812e-07,1.4176281138015712e-07,1.5398737691372861e-07,1.7475876184060046e-07,1.345564188716211e-07,1.5897643750626387e-07,1.2451023480567905e-07,1.0771680702718624e-07,1.3416471717811387e-07,1.5789670576532936e-07,1.5766662267925407e-07,1.4300232467554703e-07,1.7991796181441993e-07,1.1871079775657871e-07,1.413858015178104e-07,1.594006746618524e-07,1.3696624473360724e-07,1.7667671854088064e-07,1.5987556179232554e-07,1.589286994781715e-07,1.663688033713478e-07,1.5914098502869844e-07,1.3446372962675086e-07,1.7595521467643064e-07,1.526518687035516e-07,1.196282127266034e-07,1.3499257121396346e-07,1.6056899231409523e-07,1.7227689776720843e-07,1.6847504400931406e-07,1.6878190290153936e-07,1.3769968003424398e-07,1.394019251176611e-07,1.6537653140154336e-07,1.3430512522179924e-07,1.8191565403271732e-07,1.373525528936937e-07,1.7700870705459905e-07,1.6759105338327628e-07,1.0345926808293004e-07,1.4566763756827566e-07,1.5516679193732045e-07,1.6006452728102147e-07,1.7448845863692872e-07,1.5816319680451397e-07,1.2956811678212914e-07,1.7326451017262686e-07,1.4242070701065798e-07,1.4556404043128213e-07,1.805062028905497e-07,1.4880835296825922e-07,1.333951517048502e-07,1.8194958139182887e-07,1.201415880128827e-07,1.2455224509750546e-07,1.676797743020663e-07,1.6715039049960303e-07,1.6816181709534414e-07,1.7561189219761258e-07,1.391861144524264e-07,1.2402836277784123e-07,1.43796391368294e-07,1.4153243588506358e-07,1.6178284413373883e-07,1.6917075722954028e-07,path:hsa04672
4,9.478132911753568e-08,8.988049041251504e-08,1.0306484559915413e-07,8.371976753255354e-08,1.0798004130607339e-07,1.1494757038601734e-07,1.1058920478624408e-07,9.28021545652961e-08,9.74701993494069e-08,1.1204914466926866e-07,8.360891047382055e-08,9.06273739875462e-08,8.817931491545254e-08,9.7229731506384e-08,1.1382323732061024e-07,1.0110787886167238e-07,8.798803210553147e-08,8.834388172860602e-08,9.014138127492289e-08,9.025128555451305e-08,1.10246306402266e-07,9.21840500604566e-08,9.063408479786245e-08,9.524291357672093e-08,1.1111664717308575e-07,1.0742167260678052e-07,1.0102935300889186e-07,7.41804922377781e-08,7.396950973043964e-08,8.717163374924989e-08,1.1559074910083212e-07,1.1191070507407727e-07,1.1075920585882896e-07,7.78342364193185e-08,7.858985513027446e-08,1.0379496125385253e-07,8.395958421423426e-08,8.402387799349412e-08,8.377392986199929e-08,8.627163071627082e-08,7.949539544253315e-08,8.327801829344261e-08,8.4377714023063e-08,1.0250137246370684e-07,9.84666690106179e-08,1.1118207948463139e-07,1.0367885493629972e-07,9.520209487098718e-08,9.124326639951871e-08,9.208836043414216e-08,1.0031150379266704e-07,1.1374225800774413e-07,8.717869703482223e-08,1.0313316335596043e-07,8.06506833105529e-08,6.973782279406451e-08,8.688517599529869e-08,1.024821286269862e-07,1.0245823502666044e-07,9.33538902449335e-08,1.1683906699016756e-07,7.684951027033493e-08,9.190140124324038e-08,1.0373168215452012e-07,8.898636097089588e-08,1.1518417339097359e-07,1.038781746033315e-07,1.0331714716342282e-07,1.0817629672768376e-07,1.0326054257246004e-07,8.692279243969654e-08,1.1455289590277447e-07,9.91292338821395e-08,7.79552564028463e-08,8.751127113642894e-08,1.044659126413295e-07,1.1222414883531968e-07,1.0939725599264406e-07,1.0954215607831259e-07,8.94122281682383e-08,9.049337150710401e-08,1.0745559135382527e-07,8.75054149437269e-08,1.1829891407285482e-07,8.883868476013464e-08,1.153630015471523e-07,1.0903134223423516e-07,6.716230114869545e-08,9.457168982012915e-08,1.0074076398350846e-07,1.0376224617348261e-07,1.1348741199423054e-07,1.0287830467364176e-07,8.391709580670575e-08,1.1280955916321207e-07,9.21657509612523e-08,9.475523045610745e-08,1.1726084506977626e-07,9.634340229592406e-08,8.663490948249028e-08,1.1851402933362498e-07,7.832624097214443e-08,8.112647884050725e-08,1.0884511680104614e-07,1.0857464690289614e-07,1.09384560992294e-07,1.1456387284676136e-07,9.059727812248148e-08,8.04527241160881e-08,9.332662932878433e-08,9.207279847841678e-08,1.0515235577360241e-07,1.0995373018845548e-07,path:hsa03460
5,1.1944694043350857e-06,1.133441676291962e-06,1.3012052735400977e-06,1.0545369228370453e-06,1.3668041906542008e-06,1.454676211971403e-06,1.396645494857414e-06,1.1745074734475003e-06,1.23379410550652e-06,1.4165169447382641e-06,1.0472061836465326e-06,1.1461948076012882e-06,1.111387509567775e-06,1.2260231525370033e-06,1.4397591237615788e-06,1.278338946752977e-06,1.1060720409356081e-06,1.1113761801092919e-06,1.138108208288937e-06,1.1388525354782343e-06,1.3908548481541016e-06,1.1573698559989931e-06,1.139954416048342e-06,1.201575183442056e-06,1.4029242788763893e-06,1.3518825302811235e-06,1.2755287159951805e-06,9.330561138777364e-07,9.236872588112495e-07,1.0987956704050695e-06,1.4610580640786362e-06,1.4115272680606575e-06,1.3981411476111492e-06,9.794545628075411e-07,9.911553469080853e-07,1.3074988157112688e-06,1.056332480906104e-06,1.0576745207623785e-06,1.0554530751824433e-06,1.085920681260394e-06,1.0008188525424547e-06,1.0478958740177138e-06,1.0583293674055333e-06,1.295611575113514e-06,1.2412426142327713e-06,1.4057648103686232e-06,1.307937348645442e-06,1.202252673302823e-06,1.14587166149933e-06,1.1625833454276904e-06,1.270272539820221e-06,1.435329278628666e-06,1.0996938953753402e-06,1.2992947438522325e-06,1.0136333962880883e-06,8.725969248259744e-07,1.0950467525408361e-06,1.291690105754257e-06,1.2937324828275134e-06,1.1786220985575005e-06,1.4763449826047373e-06,9.648598244565338e-07,1.1628760258112264e-06,1.308150640186945e-06,1.1252058231992538e-06,1.4554847629285047e-06,1.3141576150866082e-06,1.3036441169843917e-06,1.3641329336387485e-06,1.302419797166234e-06,1.0925266363686012e-06,1.4457321364842679e-06,1.2528588895830343e-06,9.764465535508157e-07,1.1022008083557417e-06,1.318473417067176e-06,1.4143499761664165e-06,1.3803470966735637e-06,1.3820030382737874e-06,1.133540697709515e-06,1.141848363241703e-06,1.3555682629643157e-06,1.1042733631142836e-06,1.4961189077058705e-06,1.1168559599833628e-06,1.4558167016063545e-06,1.3749638964448512e-06,8.391175267908947e-07,1.1918587401184593e-06,1.2696612313406953e-06,1.3094797048561949e-06,1.4344333172578798e-06,1.302872464759134e-06,1.058035227045012e-06,1.4234888262893493e-06,1.1593776601659102e-06,1.1978048874211715e-06,1.48383520107689e-06,1.2165764217608681e-06,1.0912729588434244e-06,1.4972522510471018e-06,9.840710758173688e-07,1.0218991515705856e-06,1.3720478766569833e-06,1.3704394262056025e-06,1.3798123315570053e-06,1.4494933269231194e-06,1.14113258111956e-06,1.011487036168817e-06,1.1767662309818694e-06,1.1615648800637448e-06,1.3259525597381505e-06,1.3880655196161051e-06,path:hsa04310
6,6.907812237204277e-10,6.432618722226403e-10,7.431186675931279e-10,6.057182572301305e-10,7.510018403736534e-10,8.058225555105756e-10,7.868254111786213e-10,6.482714897064447e-10,6.727877760028247e-10,7.875878850617443e-10,6.295791800802636e-10,6.405071724474158e-10,6.432515800387455e-10,7.093620142284732e-10,8.114866482158622e-10,6.952290272035416e-10,6.544994078513261e-10,6.526334887482912e-10,6.42405336827562e-10,6.402842859020468e-10,7.856075454232534e-10,6.836218182149272e-10,6.664106019012943e-10,6.794288572017056e-10,7.921510998937239e-10,7.829854147285743e-10,7.207617784548653e-10,5.58277877068388e-10,5.683784657083546e-10,6.307257905686165e-10,8.158353282703715e-10,7.954548207779176e-10,7.880318326006959e-10,5.829971433288654e-10,5.752267075778257e-10,7.619420478041761e-10,6.10495820952462e-10,6.151702366147299e-10,6.161252001153732e-10,6.262323868711875e-10,5.809479009475872e-10,6.236393115605367e-10,6.379365693109895e-10,7.194261830226177e-10,7.184047052532826e-10,7.914990517266818e-10,7.491848884968752e-10,6.781421869080656e-10,6.883086865604184e-10,6.611023532558519e-10,6.95779586265361e-10,8.123577871484058e-10,6.350035774852598e-10,7.473087824290687e-10,5.996992174580243e-10,5.261509092156289e-10,6.35645075681555e-10,7.459710861216628e-10,7.331617083172007e-10,6.566075922317337e-10,8.308515176003147e-10,5.755457731700031e-10,6.488541923335563e-10,7.434288974094398e-10,6.370763030211702e-10,8.099078387804817e-10,7.357343456900075e-10,7.36757706881647e-10,7.724041991633298e-10,7.41463514669303e-10,6.530087843166996e-10,8.116188665659972e-10,7.020723597240923e-10,5.852882976266275e-10,6.440598522988663e-10,7.477456417064251e-10,8.085780321536594e-10,7.90559834267816e-10,7.824120178560778e-10,6.255151852694463e-10,6.521257205502004e-10,7.675510986324974e-10,6.220416977141997e-10,8.346035350805503e-10,6.616136515555239e-10,8.210399658916077e-10,7.822816320723375e-10,5.218824946923792e-10,6.877528086719244e-10,7.273580599815921e-10,7.49581753985527e-10,8.031490410571119e-10,7.213740292422322e-10,6.153155266872629e-10,8.08993710821528e-10,6.854006351741762e-10,6.718854597672693e-10,8.255012672345677e-10,6.990657338023386e-10,6.372164233274526e-10,8.327703303565513e-10,5.810638936321086e-10,5.847526691583818e-10,7.851153321188662e-10,7.8058844418915e-10,7.857846905853163e-10,7.957211216103193e-10,6.502435012513398e-10,5.944991445930801e-10,6.699378537979862e-10,6.580215075182888e-10,7.590734974304122e-10,7.819789885548042e-10,path:hsa00071
7,1.8421800943810826e-06,1.748185018146872e-06,2.006099174987416e-06,1.6268866188735559e-06,2.1077781477723306e-06,2.244624924863413e-06,2.154370391290185e-06,1.8108679500223937e-06,1.9040957528323248e-06,2.1851469535128852e-06,1.6135741043593105e-06,1.7682983632741595e-06,1.7136844935358828e-06,1.8903379712382445e-06,2.2216560292750035e-06,1.971930595724748e-06,1.7057962059186542e-06,1.7134945239726351e-06,1.7552855306735604e-06,1.7562274295215621e-06,2.14399451158819e-06,1.7843833850179882e-06,1.7570780396015521e-06,1.854606780253246e-06,2.1639128055893023e-06,2.085038719202545e-06,1.9673069363689675e-06,1.4386107793778206e-06,1.4241064890824466e-06,1.6944556594192345e-06,2.2536634192439583e-06,2.1764539240380017e-06,2.1563054967895986e-06,1.5112534579684865e-06,1.5290616050331296e-06,2.015611704040108e-06,1.6280180812790884e-06,1.6307567414292702e-06,1.6284353709130807e-06,1.6755490185592713e-06,1.5431011227856996e-06,1.6174647995895354e-06,1.631966509693723e-06,1.9981127386170087e-06,1.913146654910064e-06,2.167855342312962e-06,2.0172094868176945e-06,1.8536201803119106e-06,1.7673795445427752e-06,1.7936139279827519e-06,1.958505994814411e-06,2.2123764278219044e-06,1.6964545265332748e-06,2.003632765503576e-06,1.562218237673687e-06,1.3441456917146974e-06,1.6889548361725793e-06,1.9909896476481127e-06,1.995797119924239e-06,1.8172704537912696e-06,2.277526395471575e-06,1.4878592023396437e-06,1.7937196522127796e-06,2.0168913502545544e-06,1.7359695428286926e-06,2.244500602075757e-06,2.026575603746473e-06,2.0091335434661127e-06,2.1037338848955433e-06,2.0084090958273337e-06,1.6842928219382688e-06,2.2296924522844893e-06,1.931717558525e-06,1.5050523309490778e-06,1.6999597340271579e-06,2.034799710577563e-06,2.179668777720157e-06,2.1306667723816124e-06,2.131972173074272e-06,1.7486895332138635e-06,1.7607565391486172e-06,2.0902323063062863e-06,1.7025017367348106e-06,2.307311594246258e-06,1.7224344817767799e-06,2.2443864461785425e-06,2.11907166083123e-06,1.2955709953412538e-06,1.8386697221517796e-06,1.958035699105488e-06,2.019294333889849e-06,2.2123964681949435e-06,2.0093275599224376e-06,1.6314892591578692e-06,2.1945359942583025e-06,1.786948257449061e-06,1.8468723579940216e-06,2.2891776626972175e-06,1.8765252485245258e-06,1.6831195276835592e-06,2.3087643277077927e-06,1.5178858173661484e-06,1.5767152560044303e-06,2.1165333394918592e-06,2.11453666665358e-06,2.126791891080568e-06,2.234978906585593e-06,1.7597969376032413e-06,1.560262992744544e-06,1.8151527383841016e-06,1.7917056196093982e-06,2.045262887993213e-06,2.141442259897209e-06,path:hsa04670
8,2.06959990401209e-06,1.9635036769172686e-06,2.2532899742970485e-06,1.8270806639322808e-06,2.367101310420836e-06,2.5218808384085127e-06,2.420186422647362e-06,2.0338768222422304e-06,2.1388228090050354e-06,2.454648613631915e-06,1.8119682007672855e-06,1.9868849317186796e-06,1.9254495609330115e-06,2.124089368785455e-06,2.496053348303341e-06,2.2140257019320406e-06,1.9163782045101393e-06,1.925686336735539e-06,1.971686876321326e-06,1.972864070560554e-06,2.4078021375667752e-06,2.0042640132431923e-06,1.973838844535192e-06,2.0829415751531894e-06,2.430494163641837e-06,2.342585697922793e-06,2.2092384591050992e-06,1.616728450675141e-06,1.5997445294037308e-06,1.9031882829368465e-06,2.5318559705488295e-06,2.444054312892457e-06,2.4222805925495804e-06,1.698661742320018e-06,1.7177716500837946e-06,2.2639738773757026e-06,1.8279459873753565e-06,1.8324713105429493e-06,1.82962834589506e-06,1.8821459862343627e-06,1.7339581464317582e-06,1.817638813795576e-06,1.833688309485871e-06,2.244225521677978e-06,2.149350023707848e-06,2.435191450714133e-06,2.267194662277654e-06,2.082511682181661e-06,1.9852159393143386e-06,2.0141369050577006e-06,2.200017806476878e-06,2.485001971749571e-06,1.9063618033925442e-06,2.2510688239442867e-06,1.7550383600020112e-06,1.5102232173653651e-06,1.898067783260926e-06,2.2365896319140558e-06,2.2411002466321317e-06,2.040878645677676e-06,2.5588372199428116e-06,1.6721186371350713e-06,2.0144363292805162e-06,2.265262875681761e-06,1.9506180812821406e-06,2.520643504146593e-06,2.2767027853933278e-06,2.2556266765783904e-06,2.3629786491268614e-06,2.2563675211288057e-06,1.8920236311039188e-06,2.504205608982625e-06,2.169032111181683e-06,1.6899299643707692e-06,1.909481072386668e-06,2.286194099390132e-06,2.447632957412512e-06,2.3932364475756855e-06,2.3955067071090407e-06,1.9647649210553675e-06,1.9774421420453185e-06,2.347782099921781e-06,1.91179053506558e-06,2.5919402693477333e-06,1.9348752972598294e-06,2.521248329013886e-06,2.3794585678424056e-06,1.4560369616548008e-06,2.0649986970659207e-06,2.1987729069054903e-06,2.268109570367069e-06,2.4851546942916878e-06,2.2568909823026483e-06,1.8334679694742375e-06,2.4640782227830263e-06,2.0063416815622055e-06,2.074440913361707e-06,2.571246248038613e-06,2.1080256113489045e-06,1.8913642246167546e-06,2.5935141181666554e-06,1.705691437300385e-06,1.7711261517140138e-06,2.377535230157902e-06,2.374994706832152e-06,2.389147513630836e-06,2.5100120154599463e-06,1.9761373786930456e-06,1.7533754439740815e-06,2.0388344117744836e-06,2.01219431314285e-06,2.2974734029231265e-06,2.4060772847252257e-06,path:hsa04550
9,7.047842765854779e-10,6.506802550757524e-10,7.553504212883669e-10,6.177719986992764e-10,7.536452008969878e-10,8.131871323437781e-10,7.937588112685782e-10,6.496379401789116e-10,6.736456813508861e-10,7.919010184722435e-10,6.425081766540504e-10,6.500223495939456e-10,6.561287977559408e-10,7.169045492168304e-10,8.179315862969917e-10,6.953599856131321e-10,6.753330544745985e-10,6.66997559998931e-10,6.493158688855715e-10,6.453096832731134e-10,7.896402308226043e-10,6.950899592054001e-10,6.757643415810139e-10,6.897767075075631e-10,8.011391798554221e-10,7.940104888641562e-10,7.309114521665065e-10,5.718359069381373e-10,5.84430434892311e-10,6.368205297127684e-10,8.228101686781559e-10,7.999126515265558e-10,7.957927773530082e-10,6.061161575488578e-10,5.868353908617205e-10,7.800016903335222e-10,6.136475784750584e-10,6.237540754026099e-10,6.295792818505375e-10,6.338168415089328e-10,5.913520908913837e-10,6.395318509170073e-10,6.546653783917814e-10,7.233557153347688e-10,7.318945770978173e-10,8.069118745955654e-10,7.620419018042251e-10,6.811644685000613e-10,7.073066081109621e-10,6.597408722825709e-10,6.931633596495011e-10,8.172932744864756e-10,6.43103099722399e-10,7.60274633929752e-10,6.085208190216328e-10,5.349448009139734e-10,6.455997714603235e-10,7.599324005480365e-10,7.433245881978966e-10,6.554532057579056e-10,8.387217241113858e-10,5.912310682066809e-10,6.531582294924052e-10,7.506571120127082e-10,6.446825623347137e-10,8.109781195173309e-10,7.41624753622701e-10,7.412561261408563e-10,7.829483130628341e-10,7.505265561247186e-10,6.711172567028915e-10,8.161535056377843e-10,7.035347569429253e-10,6.016028024351194e-10,6.545992079558021e-10,7.531601173572949e-10,8.14265020890871e-10,7.995742015906881e-10,7.917679317136121e-10,6.256227774345412e-10,6.621699242495501e-10,7.696001180661443e-10,6.261328018813629e-10,8.41017519566215e-10,6.82173385678117e-10,8.273023020300387e-10,7.895096543584304e-10,5.420999258717247e-10,7.039868054190773e-10,7.382522218870874e-10,7.611110738167772e-10,8.072061371761207e-10,7.237126761202403e-10,6.320468125677585e-10,8.133505432536979e-10,7.048331141583925e-10,6.719089845419101e-10,8.288055337383703e-10,7.178043663228463e-10,6.493839889149922e-10,8.365883133292957e-10,5.90977973426424e-10,5.923072142081844e-10,7.965855777256221e-10,7.939218055107704e-10,7.913756287599601e-10,7.947431399066575e-10,6.5740149646986e-10,6.05815479056904e-10,6.792350448628973e-10,6.615274431897343e-10,7.685233637811986e-10,7.889429708167208e-10,path:hsa00630
