id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,pathway_id
0,7.127613001071447e-10,7.178904242661003e-10,7.175816326617262e-10,5.633737094790336e-10,6.723096745859575e-10,6.896398491649025e-10,5.837634016208568e-10,5.407560145351922e-10,7.353353778659422e-10,6.753173175406935e-10,6.157950348018795e-10,7.3025199286967e-10,5.550511508122073e-10,5.607510039058479e-10,5.760763313988967e-10,6.704839190534396e-10,6.522727131694739e-10,5.296916713301495e-10,6.773786760451486e-10,5.325433470621429e-10,6.622723172349477e-10,6.97926285688195e-10,7.309781832610993e-10,7.206843409611958e-10,7.031451917101816e-10,7.172938704716295e-10,7.193200679745769e-10,5.740997437548702e-10,5.588696514394181e-10,5.48957040058804e-10,5.695882671918472e-10,6.526937400343918e-10,5.368875475866784e-10,6.76169626562636e-10,7.144694155882286e-10,6.08783778065102e-10,5.863669599384711e-10,6.784622787634184e-10,7.398615151108836e-10,5.608533580664726e-10,5.879456403824776e-10,5.725821116930458e-10,6.299806363475006e-10,6.567074915319422e-10,6.319588066098539e-10,6.978538454401315e-10,6.998965167307814e-10,6.0524975961418e-10,6.191107284417965e-10,5.45820903612917e-10,7.22777663503486e-10,7.063393895327882e-10,6.722996320515037e-10,6.086962768148012e-10,5.729372956634215e-10,7.231546290051034e-10,5.675573162350334e-10,5.310033483855328e-10,5.482236578988336e-10,7.193281564979599e-10,6.250309228784024e-10,5.913864747142242e-10,6.789621360711534e-10,5.965221644996816e-10,6.474467350719221e-10,5.117153862872262e-10,6.84859158586596e-10,5.92572921495608e-10,7.051622891577497e-10,6.617080951384662e-10,7.165865576561156e-10,6.710144862486379e-10,7.224950709510846e-10,6.334937485596283e-10,6.97928790256349e-10,6.686528856381052e-10,6.846705545265994e-10,5.895717489863193e-10,5.638340797129949e-10,5.507012552878791e-10,6.662804922424502e-10,6.919087284974681e-10,6.753412098518028e-10,7.250083901633441e-10,7.237137915753065e-10,6.388694998962478e-10,5.102660942229177e-10,6.148042392111552e-10,5.303745907342941e-10,7.089969658985781e-10,5.968380965494787e-10,5.474760013800506e-10,5.995462065903118e-10,7.230604184235696e-10,7.063790016483399e-10,5.810153696594692e-10,7.179953977720334e-10,5.846271398345844e-10,6.166163931842788e-10,6.201979088479589e-10,5.765975111292549e-10,6.096778622387295e-10,6.940494978625461e-10,5.65417484683292e-10,6.716532612393454e-10,5.623345721769746e-10,6.714350148127384e-10,5.863909455643404e-10,7.298936921863156e-10,6.117417514394712e-10,7.264951910285174e-10,5.496731244617428e-10,7.259698401283944e-10,path:hsa00190
1,6.509428798612686e-10,6.568554560808811e-10,6.549688279711888e-10,5.17592738704498e-10,6.136228278808415e-10,6.329499506378918e-10,5.321394296450708e-10,4.960923981476162e-10,6.707216077968886e-10,6.184967428902994e-10,5.603939495344259e-10,6.660605178131205e-10,5.083022110101842e-10,5.105323388692285e-10,5.233630266186977e-10,6.144327173193677e-10,5.992228373541558e-10,4.864205213042124e-10,6.189088583822824e-10,4.869755873564585e-10,6.040650518466604e-10,6.388761666759499e-10,6.683388587024454e-10,6.597649916297126e-10,6.433872274284029e-10,6.536342221729064e-10,6.582801022240798e-10,5.228569498822196e-10,5.109727865885936e-10,5.02733893282236e-10,5.209079119279993e-10,5.998339363068722e-10,4.922665299468573e-10,6.168555788831049e-10,6.545842464921325e-10,5.572505020637352e-10,5.362489183536256e-10,6.186807707944734e-10,6.742446457133908e-10,5.137410118640105e-10,5.381420462095996e-10,5.241542062612469e-10,5.775586917879084e-10,5.995955596470138e-10,5.743951836967768e-10,6.376908269808766e-10,6.380682157582445e-10,5.546761288704081e-10,5.629315171469184e-10,4.971566636214638e-10,6.604245886893014e-10,6.449773671115469e-10,6.144046833259578e-10,5.553973287884815e-10,5.255939570779912e-10,6.591637080833248e-10,5.180757198512866e-10,4.80940112425436e-10,5.007919427706549e-10,6.58646763350027e-10,5.709487831396056e-10,5.424256246137759e-10,6.215012308730055e-10,5.462421510739273e-10,5.932671136960004e-10,4.676049750689556e-10,6.25463558659333e-10,5.410004521753317e-10,6.460855694668058e-10,6.058017822988489e-10,6.549526970219145e-10,6.141366762437782e-10,6.587893016456814e-10,5.784772962809785e-10,6.381518528443407e-10,6.125196691883519e-10,6.249598677946342e-10,5.348103517011836e-10,5.142051998847413e-10,5.031505261417427e-10,6.103560694341319e-10,6.322153389626458e-10,6.166644196783547e-10,6.636347440823582e-10,6.601026802023956e-10,5.853852985563283e-10,4.659491537391742e-10,5.639664328892424e-10,4.850074054126835e-10,6.475889493787304e-10,5.469642544655054e-10,5.020765461348219e-10,5.485741740782926e-10,6.599399584840767e-10,6.465179560973278e-10,5.292239031020281e-10,6.551908982500244e-10,5.325137220520778e-10,5.641224531147688e-10,5.670140683104914e-10,5.258760864159249e-10,5.540143827719006e-10,6.321682004518244e-10,5.173900229333152e-10,6.147146624539655e-10,5.127600896280802e-10,6.131111197852365e-10,5.333323479916793e-10,6.661749782574277e-10,5.608476686655653e-10,6.648851777277115e-10,5.026896055373277e-10,6.641699249459122e-10,path:hsa00072
2,6.216565522954002e-10,6.258902954129325e-10,6.254548738131615e-10,4.915175484621677e-10,5.84364177597161e-10,6.023184182722691e-10,5.064454355363614e-10,4.720967324813491e-10,6.387343457012228e-10,5.87921894471858e-10,5.356391789969603e-10,6.350205627938207e-10,4.829229960370455e-10,4.875194150559718e-10,5.013733528238006e-10,5.839551779679556e-10,5.673881443516752e-10,4.627663364602581e-10,5.898633878862721e-10,4.609828437008868e-10,5.777524668749529e-10,6.066181334734448e-10,6.366855562801861e-10,6.273725474946129e-10,6.128615447320989e-10,6.218483869123822e-10,6.251791340893564e-10,4.99688496565022e-10,4.870230699084309e-10,4.787534511932551e-10,4.958390854236148e-10,5.694482198818653e-10,4.688300471312011e-10,5.891293327195171e-10,6.226589693063151e-10,5.312921264623151e-10,5.10136266123335e-10,5.903532323129102e-10,6.422856983019328e-10,4.875744518939586e-10,5.106418994073379e-10,4.980529268813629e-10,5.495573394040515e-10,5.715572701085109e-10,5.46836987503558e-10,6.072572605718461e-10,6.081295267177923e-10,5.269692835089624e-10,5.386592073087205e-10,4.746569639265057e-10,6.287321045606358e-10,6.14899194237106e-10,5.856313990862247e-10,5.289581045106377e-10,4.993556440608726e-10,6.29401659321193e-10,4.926232898998436e-10,4.583689106482734e-10,4.7604037483722e-10,6.264323015461239e-10,5.45782496501964e-10,5.166757184575787e-10,5.908190425900041e-10,5.175567561909498e-10,5.630013272873705e-10,4.433494969324053e-10,5.956929069191792e-10,5.161159352405395e-10,6.139788208072384e-10,5.764335320049155e-10,6.22098562331948e-10,5.849083376423757e-10,6.275908528132017e-10,5.521345292515628e-10,6.067691217316518e-10,5.83667138529339e-10,5.945591402596809e-10,5.119157580642198e-10,4.922673096435173e-10,4.791270428478888e-10,5.799754600222476e-10,6.041427135324784e-10,5.884850303845352e-10,6.32801429144993e-10,6.293960162666163e-10,5.570022534695406e-10,4.4225171814686966e-10,5.367507925251067e-10,4.628080843432964e-10,6.156896799496277e-10,5.21803481257871e-10,4.784264171754309e-10,5.210374877666812e-10,6.301818335453866e-10,6.151407929934119e-10,5.060117974927002e-10,6.23489443711286e-10,5.083916948466094e-10,5.366406116408418e-10,5.4073259615938e-10,5.011361106225825e-10,5.292337857571934e-10,6.023014793623309e-10,4.934378633660547e-10,5.864892408439611e-10,4.878144181603827e-10,5.864017881173351e-10,5.080879152816695e-10,6.330120934363136e-10,5.331835925897824e-10,6.309993260009686e-10,4.809046635167896e-10,6.329389578896068e-10,path:hsa01040
3,2.805602418926326e-07,2.8201489759266985e-07,2.852742455546756e-07,2.2393350350787838e-07,2.6518130868140325e-07,2.73485305826688e-07,2.2586151667921548e-07,2.1270603486301473e-07,2.8887668804400154e-07,2.664406773481168e-07,2.4350099250400607e-07,2.878514370195755e-07,2.1435544502494842e-07,2.180500478134545e-07,2.2540649468690681e-07,2.657099316929953e-07,2.5972204637457333e-07,2.0369121804880243e-07,2.667005348397958e-07,2.0661397460894907e-07,2.6156764402839605e-07,2.7780497797680116e-07,2.906598755513296e-07,2.8382442321111885e-07,2.7879554160335846e-07,2.8271144738318286e-07,2.816574969406221e-07,2.272038111714273e-07,2.212709764884337e-07,2.186119005690443e-07,2.2591279970820624e-07,2.586400868106863e-07,2.1647105321846567e-07,2.6654839560524286e-07,2.8406991921640945e-07,2.400984873422783e-07,2.27624869144576e-07,2.7001235016471437e-07,2.923825857023978e-07,2.2260149640052622e-07,2.3120838088325342e-07,2.2678631658656866e-07,2.5012532435403935e-07,2.5907983150094903e-07,2.4576152012432517e-07,2.75664000655759e-07,2.783752714789595e-07,2.3756419072033593e-07,2.434194966307263e-07,2.1401065865103246e-07,2.849967462051595e-07,2.7586702647432644e-07,2.649916760714271e-07,2.4063945482966035e-07,2.2387600366489868e-07,2.8451353463809237e-07,2.1868432133322803e-07,2.028534366500369e-07,2.1295661260318523e-07,2.8535926918115605e-07,2.4884535625904205e-07,2.3355679275016188e-07,2.6679179057889525e-07,2.3468168474320307e-07,2.569255681824633e-07,1.9442284661503593e-07,2.697475269123585e-07,2.3326067162450597e-07,2.8073280291194574e-07,2.611694588118466e-07,2.837997881015277e-07,2.646381791652238e-07,2.865870720555898e-07,2.5074175962334595e-07,2.74219412928636e-07,2.6435544977007484e-07,2.7021993657631484e-07,2.3006291682948285e-07,2.1910712998664565e-07,2.1356978718863632e-07,2.613915524632216e-07,2.743646368850159e-07,2.6486616484587756e-07,2.875723826765885e-07,2.851448830166379e-07,2.5477235052129563e-07,1.9611678020120273e-07,2.4465546660857304e-07,2.092110895676617e-07,2.7852982676950566e-07,2.36826974715377e-07,2.2085532846258746e-07,2.3717271402057374e-07,2.8344038080534247e-07,2.782674693792071e-07,2.2771448944095646e-07,2.8280733374165987e-07,2.2828790319313021e-07,2.420354682196979e-07,2.463461301627573e-07,2.2557072035778861e-07,2.394372701048388e-07,2.712801231960147e-07,2.2207523496032952e-07,2.658355715113888e-07,2.1930604227514233e-07,2.6526450260881965e-07,2.2722993827133326e-07,2.8982830695436085e-07,2.4141570590533315e-07,2.8647987603789767e-07,2.158663649030534e-07,2.8888660192413115e-07,path:hsa04672
4,8.757213531420111e-08,8.802674412319432e-08,8.892536881005712e-08,6.990750749475912e-08,8.272907664787489e-08,8.540936400451154e-08,7.077291110771495e-08,6.651492323330312e-08,9.026075658965236e-08,8.308656932219304e-08,7.596277492205478e-08,8.973438008607674e-08,6.690865344102566e-08,6.80307253208072e-08,7.036209550825843e-08,8.29499478904653e-08,8.094800484537809e-08,6.375470190769146e-08,8.327143490044939e-08,6.451771076146368e-08,8.166632744409262e-08,8.690993206372038e-08,9.067225377557349e-08,8.856594038786569e-08,8.702003246518391e-08,8.828704293132442e-08,8.789493398332518e-08,7.10661754520467e-08,6.922256004382894e-08,6.813457290632395e-08,7.068687821551964e-08,8.04926694517395e-08,6.727537786944923e-08,8.305789877305281e-08,8.863607367929566e-08,7.501932248633771e-08,7.115176743767639e-08,8.43013567598135e-08,9.122204787678022e-08,6.932220303083402e-08,7.221318555152996e-08,7.083861889693127e-08,7.8098094870878e-08,8.095283432531272e-08,7.686110770514768e-08,8.600928694932765e-08,8.690359131209382e-08,7.411071232067883e-08,7.588939146960667e-08,6.696281662812743e-08,8.90736787280189e-08,8.602066572438337e-08,8.26505905765006e-08,7.49109520525821e-08,7.008416648284949e-08,8.861137947072487e-08,6.820722918443762e-08,6.345162861504499e-08,6.661824363549171e-08,8.90388825499564e-08,7.757291694168618e-08,7.27380396131857e-08,8.324438676890261e-08,7.342883724054123e-08,8.007438945570227e-08,6.102605232557625e-08,8.417142128838146e-08,7.285816702545248e-08,8.756968055320811e-08,8.136105891596867e-08,8.869463096907506e-08,8.26400535565146e-08,8.942000577818925e-08,7.844397003937977e-08,8.55356744386849e-08,8.247092388872139e-08,8.439615183866506e-08,7.205098086944506e-08,6.834338803273243e-08,6.693396512824066e-08,8.123679859835085e-08,8.554554788923896e-08,8.247753023511915e-08,8.96568171930296e-08,8.890003297924437e-08,7.959908213123651e-08,6.153386963442224e-08,7.629362549756547e-08,6.537701960373083e-08,8.71906508943544e-08,7.372283863177854e-08,6.870461530084657e-08,7.41772283835766e-08,8.841182417007181e-08,8.687047545856888e-08,7.093449994434397e-08,8.820421075723452e-08,7.139514135740282e-08,7.556116040367161e-08,7.695188483619233e-08,7.040367980656858e-08,7.483124551023412e-08,8.469390239507768e-08,6.923851018629227e-08,8.280247459868158e-08,6.85350018622929e-08,8.268798278416769e-08,7.107883787805884e-08,9.053268842503236e-08,7.526003779545125e-08,8.938444974586283e-08,6.724174901084275e-08,9.003785949863954e-08,path:hsa03460
5,1.4587568010982234e-06,1.4662501539774233e-06,1.4849714276538175e-06,1.1661240354966076e-06,1.3776818639792911e-06,1.4221619846474433e-06,1.1760113194313144e-06,1.1086386035552263e-06,1.5025075859361386e-06,1.3848902049300387e-06,1.2668595022310047e-06,1.4949901949847909e-06,1.1126458384464217e-06,1.1314607832437602e-06,1.172233637527642e-06,1.3809622927801616e-06,1.3504061512920517e-06,1.0612023272948392e-06,1.3854707149976718e-06,1.074457916577724e-06,1.3616252245532904e-06,1.4451149397534426e-06,1.5099212666840536e-06,1.4759132368720442e-06,1.4497605315722442e-06,1.4693292369627605e-06,1.4636055238091546e-06,1.1828189365136442e-06,1.1525216912413135e-06,1.1356769049055539e-06,1.1783319591358387e-06,1.34258945767821e-06,1.1236097446567556e-06,1.3854504357249016e-06,1.4775438336108771e-06,1.2490438269710718e-06,1.184301742412479e-06,1.4064066251756458e-06,1.5185216029736715e-06,1.1563198342859524e-06,1.203396051767916e-06,1.1798958386842536e-06,1.3019535577584333e-06,1.3470917180676627e-06,1.2791541588097966e-06,1.4318837266651058e-06,1.4472843909783199e-06,1.2339569427143112e-06,1.2653824928434297e-06,1.1130105885995588e-06,1.482054671461897e-06,1.4341397279156142e-06,1.3764473569695121e-06,1.2495186343700828e-06,1.1639554872394124e-06,1.4773302137091091e-06,1.1349363962400839e-06,1.0547440664364486e-06,1.1084739898623783e-06,1.484038203600216e-06,1.2942759745486295e-06,1.2147540726108232e-06,1.387342640958529e-06,1.2219880954814402e-06,1.3366413834043186e-06,1.0124572166045355e-06,1.402337283692225e-06,1.2131319556454705e-06,1.459769412102941e-06,1.3573345659266244e-06,1.4763427772018467e-06,1.3746978595108592e-06,1.4882092926002237e-06,1.304681312796726e-06,1.4255363858177488e-06,1.3733421094075044e-06,1.4059684769988646e-06,1.1990670682058047e-06,1.138804171991772e-06,1.1117386151389766e-06,1.355709709609583e-06,1.4267475545403335e-06,1.3760624327454023e-06,1.495862100013669e-06,1.4818113478876962e-06,1.3262599674669613e-06,1.0206345418989722e-06,1.2720750048727976e-06,1.0895229606609946e-06,1.4500968578568884e-06,1.230505716466337e-06,1.148913672840968e-06,1.2350340358378686e-06,1.4746376534729596e-06,1.446163122758022e-06,1.182895836305366e-06,1.469317895876309e-06,1.1886927010291196e-06,1.2584145799127226e-06,1.2815611279933334e-06,1.1706532599349715e-06,1.2461195880963146e-06,1.4092581000210986e-06,1.1555097825089265e-06,1.3811923123740799e-06,1.1398637833746826e-06,1.3790044946284822e-06,1.1829811392663567e-06,1.5077105164722857e-06,1.252554280201788e-06,1.4886267368382035e-06,1.122669334305988e-06,1.5027324142994063e-06,path:hsa04310
6,8.058165432856508e-10,8.107738218671608e-10,8.100789925305545e-10,6.371451150292017e-10,7.574829634840012e-10,7.794465897842345e-10,6.554423633144464e-10,6.1146618917866e-10,8.274386378617835e-10,7.623250890645057e-10,6.938985495741613e-10,8.231167511443632e-10,6.237076680698948e-10,6.314554407943964e-10,6.486903083009638e-10,7.567638926694209e-10,7.369675641449243e-10,5.981839823716611e-10,7.629782852575251e-10,5.976627706597895e-10,7.475224093126509e-10,7.855409950305367e-10,8.249584416142609e-10,8.1293993149151e-10,7.940131045123876e-10,8.054905113552387e-10,8.109108978561005e-10,6.465770973294146e-10,6.308407588475713e-10,6.207108851293246e-10,6.425626168739266e-10,7.382191121805892e-10,6.081781028164809e-10,7.635627241663891e-10,8.05885163015367e-10,6.87536734511041e-10,6.601462008321127e-10,7.64826887339605e-10,8.323832714026034e-10,6.324407452356624e-10,6.623344048890594e-10,6.459230778033026e-10,7.110911878679059e-10,7.405130896206245e-10,7.080359024262968e-10,7.870842103093345e-10,7.884194053988085e-10,6.82656923001291e-10,6.980227964785584e-10,6.141671981783486e-10,8.143382680556449e-10,7.964790788270267e-10,7.591096404171466e-10,6.866533977800467e-10,6.461240069616102e-10,8.14911232133323e-10,6.381364240207688e-10,5.939657897724009e-10,6.161585119942886e-10,8.12081248901807e-10,7.069235096445e-10,6.689649774037924e-10,7.657133878227002e-10,6.706626164792054e-10,7.296230382394562e-10,5.751568140541882e-10,7.721368551841618e-10,6.669441152994866e-10,7.959436033178769e-10,7.468164540148134e-10,8.065525711735576e-10,7.578084033322623e-10,8.131375274465958e-10,7.151458780775662e-10,7.86259824626463e-10,7.554842895087947e-10,7.707085098233206e-10,6.626624283685259e-10,6.370480394724623e-10,6.198504741381905e-10,7.527205955556999e-10,7.829642634763178e-10,7.628442633758435e-10,8.199889725197729e-10,8.158478642320939e-10,7.211693690266236e-10,5.725731001170249e-10,6.961724101758547e-10,5.97778020347611e-10,7.9789084987472e-10,6.755375378289659e-10,6.199003804835528e-10,6.753610275739238e-10,8.155941600206275e-10,7.967895013189078e-10,6.55359350207183e-10,8.082868236522984e-10,6.5788613753873e-10,6.954629462430475e-10,7.003462125621173e-10,6.492923800940945e-10,6.853167613592753e-10,7.800641813064793e-10,6.386049085245037e-10,7.600309840377443e-10,6.305762396675187e-10,7.592025614311148e-10,6.584149386672665e-10,8.205974734877772e-10,6.906358340318373e-10,8.191079542788181e-10,6.224213317191485e-10,8.20325436658593e-10,path:hsa00071
7,2.398610819135578e-06,2.410636304616942e-06,2.441754725759684e-06,1.916980912663009e-06,2.2663742418657004e-06,2.3386708619150495e-06,1.933547895199337e-06,1.8218946923745795e-06,2.4703381097344e-06,2.276987218146829e-06,2.084329216132498e-06,2.4586111592016815e-06,1.8297112568869513e-06,1.8608485258630713e-06,1.9273805034446386e-06,2.2704503901009887e-06,2.218583858853222e-06,1.746527219016382e-06,2.276061886299387e-06,1.7661745936284315e-06,2.2391876586090137e-06,2.3759644435162357e-06,2.4808621482990676e-06,2.4261080200809203e-06,2.382883591455018e-06,2.415413735991412e-06,2.4056883811141116e-06,1.9460133049775955e-06,1.8957248654291073e-06,1.8677179911686932e-06,1.937241021941519e-06,2.2082658909142393e-06,1.8473301509989879e-06,2.276907307230224e-06,2.4293701212785217e-06,2.0538565665928614e-06,1.946900373174558e-06,2.312457807725459e-06,2.4973600184887795e-06,1.8998715136152404e-06,1.978897713463606e-06,1.940308081453742e-06,2.1391464179802036e-06,2.214634363383638e-06,2.1038492084411363e-06,2.354502941360301e-06,2.3795738867577557e-06,2.0268803605626475e-06,2.0813482420945998e-06,1.8315220637060342e-06,2.4372703742378628e-06,2.3579948959047662e-06,2.2627549066891285e-06,2.054206119485112e-06,1.913689523838631e-06,2.4289148186568786e-06,1.8659031260611097e-06,1.7360454831502352e-06,1.8220442988379081e-06,2.4399955852741303e-06,2.127585384748358e-06,1.9972925881988818e-06,2.2819123433625383e-06,2.0104712300769357e-06,2.1968461781756394e-06,1.6638546046437454e-06,2.3071687987056735e-06,1.995938208193967e-06,2.399019500285152e-06,2.230482246033123e-06,2.4271753712334774e-06,2.2611320971275353e-06,2.4468075874003845e-06,2.146730545043183e-06,2.343353420601688e-06,2.2588028442664508e-06,2.310544317883241e-06,1.9725215479250443e-06,1.8728938641603811e-06,1.8275344846437347e-06,2.228246082304948e-06,2.34629875754367e-06,2.2632090532978357e-06,2.4583019241312368e-06,2.437944127407534e-06,2.18097496262504e-06,1.6808426449926034e-06,2.0920021329762188e-06,1.7935477801426954e-06,2.384583427051082e-06,2.0242865748569543e-06,1.8873160765058582e-06,2.0293566867649912e-06,2.424520398488647e-06,2.3777129220768197e-06,1.9458837598371095e-06,2.4149645526707954e-06,1.95509118235458e-06,2.06986226931757e-06,2.1068491588269173e-06,1.9265855453239692e-06,2.0496046876305656e-06,2.3173693892286666e-06,1.8995110854064378e-06,2.27166993301524e-06,1.8729407252094873e-06,2.2671999158415716e-06,1.943589663119358e-06,2.479397151939406e-06,2.0595523912977362e-06,2.447459312081353e-06,1.8458030140680198e-06,2.4713111533395942e-06,path:hsa04670
8,2.829040718798166e-06,2.8450687069697514e-06,2.880216072168252e-06,2.2614863882760896e-06,2.673637712605742e-06,2.7604149316201945e-06,2.278750691675038e-06,2.1515817793440253e-06,2.9138712853333063e-06,2.6871944598517045e-06,2.458354676290553e-06,2.9004401412394906e-06,2.1580477871912407e-06,2.194143876502588e-06,2.272856500572247e-06,2.6787339988385755e-06,2.6195892163452326e-06,2.062489232013497e-06,2.6839177314907792e-06,2.087049375107702e-06,2.6402699298074397e-06,2.804518516893617e-06,2.927167325645079e-06,2.863342767031351e-06,2.8112567376626785e-06,2.8505288016859004e-06,2.838676570947481e-06,2.294655308098614e-06,2.2337540960302027e-06,2.2056937266375712e-06,2.2880329135816264e-06,2.606970682105679e-06,2.180979265468887e-06,2.6857936720841317e-06,2.8667510959830444e-06,2.422172660202091e-06,2.2996493098627137e-06,2.727992791700396e-06,2.947714107110351e-06,2.24441606906605e-06,2.3359042945130606e-06,2.291177988298164e-06,2.5230476762997336e-06,2.614826584734104e-06,2.481949824354059e-06,2.778095525369426e-06,2.806740074859314e-06,2.3929062317161103e-06,2.4547700440042974e-06,2.1601817232271484e-06,2.875773861712453e-06,2.782725627285711e-06,2.6715472589820067e-06,2.4230904567159053e-06,2.2591767271140867e-06,2.864903707417285e-06,2.203420756008959e-06,2.047266676798247e-06,2.1506218584447788e-06,2.8796045055982683e-06,2.51033671028226e-06,2.357867825709975e-06,2.6930071906077215e-06,2.3725289807781127e-06,2.5932701974410666e-06,1.9645776641714946e-06,2.723039279727726e-06,2.3539616932458544e-06,2.8324122543230846e-06,2.633135988051602e-06,2.865734567677548e-06,2.6672433829197313e-06,2.8871384459930164e-06,2.532441986597523e-06,2.765993545227545e-06,2.6650833199210436e-06,2.7245043254556324e-06,2.326042769625636e-06,2.209060173826672e-06,2.156596535643743e-06,2.631698951199715e-06,2.7674219215523775e-06,2.670564684421004e-06,2.900812096146013e-06,2.8764769737152665e-06,2.5735310974039263e-06,1.9833375802044315e-06,2.4675065187764004e-06,2.1193520847876274e-06,2.813925914517991e-06,2.388313420784101e-06,2.2268737095863717e-06,2.39364481715714e-06,2.8602257248049853e-06,2.806585760536239e-06,2.293670247218199e-06,2.849045098087964e-06,2.305686231605795e-06,2.443214710053744e-06,2.4856970352867936e-06,2.2726251394478774e-06,2.417214051583993e-06,2.7350984110015456e-06,2.2422028401364634e-06,2.680492179278542e-06,2.211866994116535e-06,2.67425290099033e-06,2.2940970412914597e-06,2.925550955474124e-06,2.4303848735542295e-06,2.888423335641098e-06,2.177271292842161e-06,2.9160417917200667e-06,path:hsa04550
9,6.21409842627488e-10,6.263891014780564e-10,6.252752560682208e-10,4.899318754662647e-10,5.849250299732452e-10,5.996351312017498e-10,5.088727355233356e-10,4.699136130212462e-10,6.404928871928537e-10,5.876303424997883e-10,5.363449964745529e-10,6.36287001662362e-10,4.843660649503887e-10,4.893459685126327e-10,5.021043593766148e-10,5.827696696634795e-10,5.67263175545633e-10,4.634480773923006e-10,5.890984781734396e-10,4.629289587672528e-10,5.768941387814247e-10,6.046044693869407e-10,6.345298684978233e-10,6.276689228651453e-10,6.110825615432849e-10,6.236876426022551e-10,6.264110187511685e-10,4.991697224684359e-10,4.864017223304294e-10,4.768343925756114e-10,4.945986202000593e-10,5.682160418591847e-10,4.665079126297263e-10,5.893570148650628e-10,6.209173852424181e-10,5.294280910379667e-10,5.108279106648906e-10,5.897706244507706e-10,6.431989862384027e-10,4.869816602188188e-10,5.10874525804329e-10,4.977933200560738e-10,5.462145147258141e-10,5.708862914269282e-10,5.493951566510488e-10,6.073555111225921e-10,6.073977609353554e-10,5.265259236225721e-10,5.404249863345977e-10,4.753026190351927e-10,6.288704695299175e-10,6.163660102741604e-10,5.861946324609844e-10,5.302915544086218e-10,4.979224305133118e-10,6.300056123540206e-10,4.959531930551834e-10,4.637882146998063e-10,4.755608852695368e-10,6.257887974255974e-10,5.448211159008851e-10,5.147543802018254e-10,5.910705678594125e-10,5.176646437924134e-10,5.617096613333953e-10,4.4617325025470496e-10,5.967913240813551e-10,5.157631039840989e-10,6.118964011200149e-10,5.763030127332747e-10,6.22166646418919e-10,5.839809849527803e-10,6.281562430238471e-10,5.508983289687375e-10,6.074208799159449e-10,5.821027307852163e-10,5.954733872230426e-10,5.132026980818146e-10,4.942088444793163e-10,4.802898497967987e-10,5.810013673442865e-10,6.028630490593423e-10,5.895221838562732e-10,6.307966925852454e-10,6.305139258452922e-10,5.539956320418486e-10,4.447157223541128e-10,5.349780293663974e-10,4.6127345467654993e-10,6.166254065813512e-10,5.201761627141164e-10,4.761457293991593e-10,5.202513615331097e-10,6.299072039147009e-10,6.151793080591737e-10,5.084916772985614e-10,6.255492892309613e-10,5.104166986464126e-10,5.365558829794216e-10,5.38088583384245e-10,5.014751441720038e-10,5.307120233756958e-10,6.045036838474289e-10,4.941097533181087e-10,5.852492249206062e-10,4.889650915673321e-10,5.853906112144452e-10,5.097926294397573e-10,6.327436019675842e-10,5.33173593954739e-10,6.318963250995904e-10,4.792476594846369e-10,6.318797000175577e-10,path:hsa00630
