,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,pathway_id
0,5.53164548931528e-10,5.824740722314658e-10,7.13945439809208e-10,7.061089237952414e-10,6.956109564885413e-10,5.488979735021664e-10,6.831908315418702e-10,6.022840934465991e-10,5.782275806333426e-10,5.944415682990752e-10,5.284649755454164e-10,5.765303307868047e-10,5.643185194194853e-10,5.988109716631133e-10,6.334448115161312e-10,5.978705486677376e-10,6.593088782927569e-10,5.946123865689784e-10,6.418175132007787e-10,7.130777780313665e-10,7.187852999416914e-10,6.989987716382874e-10,5.64018364754125e-10,6.247327100145549e-10,6.710751809544957e-10,6.96923358212873e-10,6.124331136806183e-10,6.842049748732647e-10,6.922431126017382e-10,7.36557300539647e-10,5.667340263753886e-10,6.262932561910187e-10,7.22754851568608e-10,5.981979393694459e-10,7.184037355190292e-10,7.141645306588566e-10,6.090674351319205e-10,6.134870988670665e-10,7.196152028355393e-10,5.564266518358153e-10,6.206838316013956e-10,6.141015753295969e-10,7.073935293873164e-10,5.651203314900914e-10,6.592627088182377e-10,6.127516856173319e-10,5.793006438578858e-10,5.448775977474756e-10,5.514754268819931e-10,6.914384817478004e-10,7.01218658691726e-10,6.154621745881438e-10,6.337963211191137e-10,5.417781880616572e-10,6.925588016918625e-10,7.110668470202338e-10,5.916332638858944e-10,5.653953916622837e-10,6.870663913877033e-10,6.269710454557859e-10,5.512425249092085e-10,5.942413925838102e-10,6.047756288461716e-10,5.279018842217583e-10,6.381529356265683e-10,5.955671212960889e-10,5.814201602601692e-10,6.139311871987085e-10,5.528347018614876e-10,7.174916705821978e-10,6.87230653240792e-10,6.976025220921089e-10,5.088327490889321e-10,6.41368484676791e-10,6.209995152003834e-10,7.016634407369282e-10,5.862305348207754e-10,5.296196096005952e-10,6.459354536359443e-10,6.050756938229712e-10,5.690945908512472e-10,7.023993939484047e-10,6.873426907263345e-10,6.260152308051916e-10,6.392967137051625e-10,7.200762770823234e-10,5.71059950921724e-10,7.065983615917065e-10,5.632506160327419e-10,5.261347834599571e-10,6.033283007495678e-10,5.38177885153736e-10,5.886793180630237e-10,6.756012281351116e-10,6.898147106272816e-10,7.049665130096011e-10,5.387446372349678e-10,6.849276834638398e-10,5.567688319981211e-10,5.649656809560121e-10,5.403684641820397e-10,6.524964061290431e-10,5.426143709851225e-10,5.972896926027639e-10,5.779093399951897e-10,6.959178872161702e-10,6.737931909517426e-10,5.792930276517539e-10,6.620339444002274e-10,5.357544599792005e-10,6.03429031985344e-10,7.222062705727828e-10,6.852129736230722e-10,path:hsa00190
1,5.061225127103929e-10,5.312847848044618e-10,6.575833637369926e-10,6.454997350773807e-10,6.362064784269368e-10,5.002379658072174e-10,6.209498088849342e-10,5.523285790641536e-10,5.259747616793281e-10,5.40963187928854e-10,4.79826506009171e-10,5.277822230255307e-10,5.182794026470239e-10,5.47130168410608e-10,5.768729392577469e-10,5.445845885148238e-10,6.030026800241465e-10,5.413460460632429e-10,5.851456738897618e-10,6.529553088144344e-10,6.589235220573997e-10,6.358427872870522e-10,5.132559811475231e-10,5.720436222901133e-10,6.142440620814478e-10,6.344789627180451e-10,5.575155738282432e-10,6.221851337246278e-10,6.348210436738208e-10,6.710988305466491e-10,5.190662989608959e-10,5.6926896756055e-10,6.629047081209987e-10,5.471331019586896e-10,6.548238326951935e-10,6.514099483755758e-10,5.540489372598372e-10,5.602595424404832e-10,6.552445946795761e-10,5.117147973584991e-10,5.69914244905154e-10,5.604069682864526e-10,6.466597253700034e-10,5.172485917033582e-10,6.01783580028095e-10,5.575400401354111e-10,5.297539114476251e-10,4.975820294457684e-10,5.063788884674481e-10,6.336438650261623e-10,6.423188484593581e-10,5.613264420474995e-10,5.782966649859702e-10,4.967185210719512e-10,6.364254880077674e-10,6.497541282376888e-10,5.446749005023938e-10,5.141502831734177e-10,6.287877503979001e-10,5.73014790157972e-10,5.030380976706338e-10,5.436596519882875e-10,5.513610071584593e-10,4.837249978471542e-10,5.842238945835949e-10,5.420328146172248e-10,5.3050569121232e-10,5.626118350685284e-10,5.066276722708905e-10,6.561634490404415e-10,6.295961450597373e-10,6.368171295808406e-10,4.645147485635292e-10,5.866934689154451e-10,5.661500295634545e-10,6.397710232379163e-10,5.37671549117273e-10,4.871566727164284e-10,5.892696661063102e-10,5.570162082402764e-10,5.195429101949743e-10,6.394258624867936e-10,6.25955138737468e-10,5.74280448400997e-10,5.83442486843553e-10,6.587841140026681e-10,5.248536301453121e-10,6.44688759581454e-10,5.138456372161093e-10,4.798032139815138e-10,5.492797967403894e-10,4.889210384347275e-10,5.378761576438842e-10,6.153091120907002e-10,6.336680732499213e-10,6.458301420602918e-10,4.89838826050836e-10,6.292002020965147e-10,5.136694049603114e-10,5.165508976183976e-10,4.923370046271774e-10,5.951173285889575e-10,4.982602597403045e-10,5.464985436783371e-10,5.278094766335152e-10,6.360537790766446e-10,6.168283716941344e-10,5.314417425310016e-10,6.062407235144696e-10,4.892649173715855e-10,5.497497666280774e-10,6.606222528634138e-10,6.258174426360158e-10,path:hsa00072
2,4.823446239185146e-10,5.059381694665706e-10,6.217277879390952e-10,6.142802080966673e-10,6.061411558911633e-10,4.76834280274816e-10,5.935539405460516e-10,5.265918486687594e-10,5.002635174984996e-10,5.16989148099262e-10,4.597316758413884e-10,5.027266751121117e-10,4.910719246821614e-10,5.216232364384027e-10,5.503945182472187e-10,5.203990990365545e-10,5.740879038399572e-10,5.164785348539875e-10,5.568177268049664e-10,6.205871930925868e-10,6.273951179852679e-10,6.080014497787705e-10,4.87538036356707e-10,5.448251069581285e-10,5.846356580597858e-10,6.048974710607489e-10,5.30525259669905e-10,5.950617785248432e-10,6.028549702864271e-10,6.40183657506646e-10,4.917613228193211e-10,5.42188240093007e-10,6.300984365488701e-10,5.220573327322474e-10,6.256286708720688e-10,6.213105053014108e-10,5.289197419001502e-10,5.331038092432496e-10,6.256751258856789e-10,4.834843106937691e-10,5.413325884472632e-10,5.337097508528725e-10,6.149263916007959e-10,4.927583277040085e-10,5.745431820906248e-10,5.329058305926548e-10,5.038800020734612e-10,4.720735159957851e-10,4.818896324271901e-10,6.032402027881782e-10,6.107399537137921e-10,5.342834320363772e-10,5.526402836026964e-10,4.70582592038924e-10,6.035766192910599e-10,6.203555775710262e-10,5.157099242275713e-10,4.900287706604969e-10,5.998943138881726e-10,5.459881550612149e-10,4.803212452130664e-10,5.169590192509289e-10,5.269877868526595e-10,4.592063709590937e-10,5.574460165260747e-10,5.161200856748978e-10,5.063135661228477e-10,5.346422635612581e-10,4.801737218689203e-10,6.24922870100474e-10,5.979959957116478e-10,6.055171006496905e-10,4.455137413595706e-10,5.570933312097849e-10,5.412929009541545e-10,6.097073619946047e-10,5.115501549594919e-10,4.6215159014603517e-10,5.619837728431656e-10,5.282396538830019e-10,4.952991875410025e-10,6.09851324743572e-10,5.972531073983231e-10,5.465994590705569e-10,5.540667870730914e-10,6.266584714669818e-10,4.962387640878772e-10,6.154096097701431e-10,4.90462465491261e-10,4.5635011407907984e-10,5.239619118211005e-10,4.688117766250626e-10,5.146886881783775e-10,5.878319254931168e-10,6.015798566319899e-10,6.145228065010751e-10,4.688876053540684e-10,5.989933351489022e-10,4.85340092901042e-10,4.93039810675364e-10,4.684288238600903e-10,5.680057764037417e-10,4.727250475616657e-10,5.20097495117946e-10,5.027386903285948e-10,6.070548093934064e-10,5.863507943678285e-10,5.06438296878526e-10,5.77561515351456e-10,4.671337852106182e-10,5.232240513549279e-10,6.298768767216135e-10,5.976923844776364e-10,path:hsa01040
3,2.1553075231763333e-07,2.2980464206613753e-07,2.8169228786161485e-07,2.7933532781276147e-07,2.721951153539398e-07,2.1592734904370094e-07,2.676653413416678e-07,2.3850404496780627e-07,2.2420055758761907e-07,2.3473138536048214e-07,2.0375391715034554e-07,2.2634847162717302e-07,2.2172525872423188e-07,2.3701713324508312e-07,2.4795166624939625e-07,2.3581472683196128e-07,2.5825939424661026e-07,2.342485849385463e-07,2.5104039172917217e-07,2.8050325952032124e-07,2.8437188208257713e-07,2.753969414241259e-07,2.2126135947175745e-07,2.4725536651824756e-07,2.658008035916854e-07,2.732155884235265e-07,2.400503496972312e-07,2.702678704860884e-07,2.738352325791302e-07,2.9061153366731355e-07,2.2318753011086837e-07,2.477170497398913e-07,2.851540735630677e-07,2.363376419097915e-07,2.8542518710922124e-07,2.8209650061454917e-07,2.3854023799797727e-07,2.414249556885348e-07,2.8368534559941713e-07,2.1584306738880892e-07,2.4556477567864353e-07,2.437178634746461e-07,2.7881165392175217e-07,2.2261860012770196e-07,2.612047462814073e-07,2.411691950933799e-07,2.2765924565860716e-07,2.122285564446847e-07,2.1904157662577456e-07,2.7575522161004727e-07,2.7626955884413563e-07,2.436736208900738e-07,2.506232559181558e-07,2.1334347528896104e-07,2.7206776645078805e-07,2.821321922696966e-07,2.3359425104728157e-07,2.1842355350512158e-07,2.7077363075994247e-07,2.4765321484372897e-07,2.1848698211581993e-07,2.3272697777516232e-07,2.393627315255143e-07,2.0306558822926145e-07,2.531965204617756e-07,2.3328361918725639e-07,2.2845305835428576e-07,2.415345026045717e-07,2.159896723588824e-07,2.844692678145555e-07,2.713723563337283e-07,2.72308359346346e-07,1.934001563179855e-07,2.534043600335706e-07,2.4554043827863436e-07,2.753191345855495e-07,2.324674625295497e-07,2.0610601057298826e-07,2.538399498158513e-07,2.3964219232698236e-07,2.2428776029784297e-07,2.794149180294744e-07,2.7281811357026166e-07,2.4697586577051817e-07,2.515588653567225e-07,2.845342145460295e-07,2.2489078933700267e-07,2.7825234618452807e-07,2.211503706549422e-07,1.9975466453015477e-07,2.3788744269244703e-07,2.12010110154314e-07,2.3339747407131206e-07,2.6663237887337916e-07,2.7395852997587863e-07,2.7837651572410247e-07,2.0978740387995016e-07,2.732553571119985e-07,2.1686549838283323e-07,2.2373082292123147e-07,2.1430012772879307e-07,2.5796414112748804e-07,2.157192901449507e-07,2.351311126499757e-07,2.2890994671844622e-07,2.765102195199605e-07,2.6581070916135893e-07,2.2714208839983e-07,2.6069283780820343e-07,2.1289849097072796e-07,2.3636533597095983e-07,2.8768798183073427e-07,2.7385049204049005e-07,path:hsa04672
4,6.704282783632075e-08,7.175175213182426e-08,8.826225113140621e-08,8.727153373341885e-08,8.489939893109625e-08,6.7171563041391e-08,8.368508813489406e-08,7.461317733530486e-08,7.02276349638629e-08,7.321545185948385e-08,6.377485929317044e-08,7.054655252273735e-08,6.904113900471754e-08,7.386273370426995e-08,7.727568070837354e-08,7.373762073504393e-08,8.034637075591089e-08,7.314156485632834e-08,7.842844424669411e-08,8.739553992783059e-08,8.877824324770884e-08,8.592922822746768e-08,6.922915018856267e-08,7.691508160683377e-08,8.291218867239576e-08,8.510100618632909e-08,7.491732105422302e-08,8.399336555912406e-08,8.53750944788682e-08,9.061858342193548e-08,7.028844361057723e-08,7.776876112606703e-08,8.897930766633004e-08,7.370863987395593e-08,8.914858034649664e-08,8.783269331182187e-08,7.415517973314467e-08,7.537418954349765e-08,8.832834708294006e-08,6.722809906909616e-08,7.64807475899436e-08,7.61872517334298e-08,8.712625649505935e-08,6.942091552890241e-08,8.194437567853155e-08,7.537865639545843e-08,7.1392696527058e-08,6.64170928797861e-08,6.867300942070536e-08,8.610615340320498e-08,8.630045198945077e-08,7.628368882842852e-08,7.830630108922176e-08,6.6392806495297e-08,8.514619002427761e-08,8.777073316327914e-08,7.292263708011916e-08,6.826338062723032e-08,8.419674929226652e-08,7.727256811377286e-08,6.808770259127503e-08,7.252169682405173e-08,7.477597294349878e-08,6.305219714140245e-08,7.920986025663195e-08,7.301627397460734e-08,7.127650411164205e-08,7.540517052632426e-08,6.73742468939893e-08,8.88139045492929e-08,8.482582619797017e-08,8.470806698906271e-08,6.063556255048573e-08,7.886019145352942e-08,7.671002886483428e-08,8.625748311077917e-08,7.267284379329768e-08,6.413178544926472e-08,7.892743541846664e-08,7.516342966350685e-08,6.988529777117381e-08,8.719257913153412e-08,8.528783287762377e-08,7.687766275312665e-08,7.883819651812715e-08,8.880000934274883e-08,7.011802522385211e-08,8.692607122121584e-08,6.873231666693536e-08,6.264996086133873e-08,7.4387980991286e-08,6.594006232335084e-08,7.289348230807011e-08,8.299071840280616e-08,8.567241178233285e-08,8.709010285223697e-08,6.490458098678727e-08,8.525817671308744e-08,6.749789499405146e-08,7.000200037890707e-08,6.677197724205092e-08,8.038880593062741e-08,6.731718737435705e-08,7.317219313653058e-08,7.114211873710625e-08,8.621417240391926e-08,8.348278840651367e-08,7.104697718163854e-08,8.134488266184975e-08,6.65997121267165e-08,7.409614077286983e-08,8.994638276309186e-08,8.53513171120799e-08,path:hsa03460
5,1.119858992702713e-06,1.196906806617299e-06,1.464514364613366e-06,1.451662351524937e-06,1.415869092415186e-06,1.1213146577774645e-06,1.3942100777903012e-06,1.2392495995628438e-06,1.1675323164534461e-06,1.2186107480732485e-06,1.057629558270692e-06,1.176035310038076e-06,1.1527136856575576e-06,1.2322423633534244e-06,1.2910388670630094e-06,1.2256981030543253e-06,1.3425779781139698e-06,1.218512996975987e-06,1.3067404915953324e-06,1.4572970701276544e-06,1.4764011310830767e-06,1.431094824104865e-06,1.1537589586276896e-06,1.28578796984491e-06,1.3804628410068245e-06,1.423480051710152e-06,1.2497790851487071e-06,1.4053085147726254e-06,1.4234625050977773e-06,1.5113667485401912e-06,1.1631803746405046e-06,1.2903894036839604e-06,1.4819576500344697e-06,1.2288722331079484e-06,1.4850819905272628e-06,1.4661831546514686e-06,1.2414927274730097e-06,1.254810730338146e-06,1.4750158742662094e-06,1.1240009558137222e-06,1.2754714729492855e-06,1.2671635552170426e-06,1.4511302878186601e-06,1.1553027047412477e-06,1.3575482778521452e-06,1.254205005730811e-06,1.1850613907865457e-06,1.104426190071009e-06,1.1402046920647853e-06,1.4342268068409574e-06,1.435881715058536e-06,1.2681337089232522e-06,1.3026073471086363e-06,1.110346780617822e-06,1.4138571410309372e-06,1.467362498647052e-06,1.2146420467490812e-06,1.135823707272345e-06,1.4055297142831095e-06,1.2891142159738787e-06,1.1348355016905369e-06,1.2098047666616538e-06,1.2440808437860239e-06,1.0543114252112518e-06,1.3163057430168087e-06,1.2151219040122666e-06,1.1884604885672744e-06,1.2550050173727802e-06,1.1214615511234897e-06,1.47826530526863e-06,1.4095548847330402e-06,1.4165161726247648e-06,1.0026403017712946e-06,1.3179307609039016e-06,1.2760587824847291e-06,1.432187007043593e-06,1.208040029726968e-06,1.0692065618634203e-06,1.320691580874937e-06,1.2456087760679503e-06,1.1647901973940757e-06,1.4541511846618156e-06,1.418844555229155e-06,1.2821895877477056e-06,1.3097883587794239e-06,1.480426921862453e-06,1.1700364558405006e-06,1.447029188237896e-06,1.148121588507537e-06,1.0395093180955655e-06,1.2370166610932185e-06,1.1002301829082701e-06,1.211420147281897e-06,1.3859818759060218e-06,1.426019576555881e-06,1.447968779715499e-06,1.089199303023224e-06,1.4189148636101076e-06,1.1282458986215745e-06,1.1624938611703582e-06,1.1155103969034877e-06,1.3441079565447549e-06,1.1229734937775373e-06,1.2214842405263527e-06,1.1902469378569053e-06,1.4392122247339068e-06,1.3829595587625535e-06,1.1805245526940494e-06,1.354937059220957e-06,1.107407653909894e-06,1.2322243751984552e-06,1.4962343914620034e-06,1.4238394336013314e-06,path:hsa04310
6,6.243454330212982e-10,6.574830377221203e-10,8.072484567179149e-10,7.949588356571696e-10,7.846727884416234e-10,6.172607306173943e-10,7.667435033113156e-10,6.796510964919981e-10,6.479143646245727e-10,6.674148204898111e-10,5.939215861190039e-10,6.49392801298244e-10,6.38794273729786e-10,6.741855683370886e-10,7.1201146345501e-10,6.722282891809581e-10,7.434485878571333e-10,6.676556201310659e-10,7.218639657367214e-10,8.04658771540648e-10,8.135843262004109e-10,7.890429597743612e-10,6.353977924436758e-10,7.040793598192552e-10,7.566383451929566e-10,7.839771187472814e-10,6.90621979764243e-10,7.706426685123752e-10,7.826803610624433e-10,8.300136051406274e-10,6.395423402216761e-10,7.049572031622975e-10,8.159785171057565e-10,6.763933115760678e-10,8.106533257148155e-10,8.043072599824885e-10,6.852549436678607e-10,6.917028956465779e-10,8.091471235677321e-10,6.266344696013291e-10,6.999203808773052e-10,6.92234561155245e-10,7.964997969470127e-10,6.409525763993565e-10,7.448337469302445e-10,6.902628567006965e-10,6.529253394651241e-10,6.139827184142879e-10,6.248875782805106e-10,7.817420284428403e-10,7.917138043630315e-10,6.91004471107363e-10,7.153815557125554e-10,6.120124832755107e-10,7.834347760151578e-10,8.014589908708781e-10,6.708304194999565e-10,6.355125985019321e-10,7.747657367121123e-10,7.069554902079673e-10,6.247377755254482e-10,6.703147825351264e-10,6.788100828245186e-10,5.929455244422623e-10,7.219087627599466e-10,6.690964059546913e-10,6.542635605958218e-10,6.936368338956175e-10,6.230567805241247e-10,8.101044566007291e-10,7.780417086876639e-10,7.845318162450195e-10,5.691153811462984e-10,7.230317540586491e-10,6.998414288611188e-10,7.905523860088792e-10,6.634074088504732e-10,5.993085278758903e-10,7.277900124520553e-10,6.864733006965229e-10,6.418555750540614e-10,7.919746387064942e-10,7.743345946912291e-10,7.056865820691669e-10,7.186909397136787e-10,8.124310589805912e-10,6.433084790668429e-10,7.961255818695749e-10,6.352684819023195e-10,5.908688777991404e-10,6.801594113176878e-10,6.034924226202787e-10,6.637139923885259e-10,7.609958020074493e-10,7.799923930306248e-10,7.958832024450291e-10,6.069482806870421e-10,7.742648280981885e-10,6.282468007296317e-10,6.39506112740734e-10,6.111565007703124e-10,7.341368954485105e-10,6.117238834586358e-10,6.759211303828072e-10,6.534842718769817e-10,7.862592388874701e-10,7.603797569102988e-10,6.534846062123068e-10,7.484995929985537e-10,6.012999023920724e-10,6.78774322630961e-10,8.129287356863718e-10,7.7433421147647e-10,path:hsa00071
7,1.8402119735186913e-06,1.9665454083021952e-06,2.408175813225423e-06,2.387962572124004e-06,2.3268868412389884e-06,1.8437145111722247e-06,2.2924871395723818e-06,2.0374798373257426e-06,1.921222477550874e-06,2.0049319241637038e-06,1.740959550106576e-06,1.9358086334540605e-06,1.893894887707631e-06,2.0289373228895267e-06,2.1234073469768637e-06,2.0168763438927053e-06,2.2080633663694897e-06,2.0032367823966015e-06,2.148805148592792e-06,2.3952702696897925e-06,2.428316822228016e-06,2.3525222461430905e-06,1.8965006608391045e-06,2.11352462075562e-06,2.270638123885747e-06,2.3407312394395697e-06,2.0532628628430706e-06,2.3091828952694867e-06,2.3405713919319016e-06,2.4849030004164255e-06,1.9128362379729492e-06,2.1233070728295615e-06,2.4368390025769043e-06,2.0194575264580036e-06,2.442049814666585e-06,2.4100020443881258e-06,2.041047511573245e-06,2.0622057858870545e-06,2.4244925604779374e-06,1.848973016162194e-06,2.096531388204266e-06,2.084578976646166e-06,2.3859045259273114e-06,1.8996411851796366e-06,2.2332443338302073e-06,2.062643032389513e-06,1.948488867707255e-06,1.816433101380524e-06,1.8742532704310613e-06,2.3581510545401316e-06,2.360402590427103e-06,2.0862311840948703e-06,2.141306773566317e-06,1.8261980927086755e-06,2.3250893922365035e-06,2.4118202903229233e-06,1.9960221578932236e-06,1.8671265000853005e-06,2.310581950088927e-06,2.117997392306623e-06,1.864957003385209e-06,1.9900825641781332e-06,2.0471856674352426e-06,1.7354899159827728e-06,2.1631831569600223e-06,1.99817656383623e-06,1.9534208750126333e-06,2.0623429225105192e-06,1.8428147384441045e-06,2.431104660476639e-06,2.317299984906464e-06,2.3280815694734742e-06,1.6534536816972523e-06,2.165957755646014e-06,2.097613754376831e-06,2.3546369520311175e-06,1.9839158535114923e-06,1.7604466135129158e-06,2.168198575406839e-06,2.0476466002048504e-06,1.9162558787136553e-06,2.3914436435259127e-06,2.3330433564991227e-06,2.10821085814108e-06,2.1543768734491205e-06,2.43385164783192e-06,1.9237133468927666e-06,2.3800395514750145e-06,1.8868414717777574e-06,1.7105004911192713e-06,2.0340282985869573e-06,1.8103276145204027e-06,1.9922048436549666e-06,2.2790384031520418e-06,2.3438224065598944e-06,2.3806700482510077e-06,1.7904814697092188e-06,2.3323173722366284e-06,1.8547801022959546e-06,1.91019624046466e-06,1.8336350410082703e-06,2.2096824320285874e-06,1.8481020891179237e-06,2.0060978059516035e-06,1.9563642387457736e-06,2.366398640885176e-06,2.2751797571208906e-06,1.940531386138889e-06,2.2271603133535193e-06,1.8226590169920377e-06,2.0247572181785724e-06,2.4615122983566233e-06,2.3420908450429405e-06,path:hsa04670
8,2.1707867992479076e-06,2.3205275949438742e-06,2.8410970189478847e-06,2.8186920028467807e-06,2.7447563103828344e-06,2.1776576345964317e-06,2.703874730392755e-06,2.4018565777006946e-06,2.268215843660725e-06,2.3684605198325088e-06,2.055518716892335e-06,2.2816109445426637e-06,2.2356908459548287e-06,2.395482312503433e-06,2.5039892385563463e-06,2.3808271001928704e-06,2.6061125096199327e-06,2.363720367521761e-06,2.536199689030763e-06,2.8281359358878037e-06,2.8665912022700445e-06,2.776468820721096e-06,2.2375867997495226e-06,2.4937042697561388e-06,2.680162140570141e-06,2.7601421650683954e-06,2.4228105127805463e-06,2.7249047988167335e-06,2.7613265936616585e-06,2.9325567700591112e-06,2.2558803440675226e-06,2.508036762827407e-06,2.8726547021327595e-06,2.3809014608804833e-06,2.8828850662998626e-06,2.843712777158234e-06,2.4070492976288775e-06,2.432768376016744e-06,2.8615872858357354e-06,2.1795808689645206e-06,2.474187981356584e-06,2.4593802007384847e-06,2.8169766376676853e-06,2.2393573773782734e-06,2.63500128120739e-06,2.4330505197863564e-06,2.3000577011776465e-06,2.1443053224877135e-06,2.21159913922794e-06,2.780321085510195e-06,2.784816839581699e-06,2.4653088175894147e-06,2.5255411889387307e-06,2.1568328626159363e-06,2.741923166102224e-06,2.8458580671597235e-06,2.354076478951942e-06,2.202595038531542e-06,2.725628809203475e-06,2.4983341392051926e-06,2.202606570462997e-06,2.349111851892778e-06,2.4177616219720978e-06,2.0496058847891535e-06,2.552310788546816e-06,2.355491778266303e-06,2.3048237270765385e-06,2.4326311268756265e-06,2.176481285335164e-06,2.8681470590210795e-06,2.735671256616953e-06,2.7470220331150947e-06,1.9520805764801976e-06,2.5556618827619205e-06,2.4722030098641113e-06,2.779331254398751e-06,2.3376850854240942e-06,2.077438141417897e-06,2.5585501908951003e-06,2.415988693215215e-06,2.2600717765412298e-06,2.8207880970943913e-06,2.753938801068184e-06,2.4864175698779527e-06,2.5429845603966223e-06,2.8725780506653766e-06,2.273602589678592e-06,2.809514161057498e-06,2.2260356208657054e-06,2.019613242717896e-06,2.3985391883540617e-06,2.139572383384687e-06,2.3513835191675915e-06,2.688137293314881e-06,2.7658756378040372e-06,2.8077880144020475e-06,2.112097226191314e-06,2.7518293848372967e-06,2.186844266824584e-06,2.252643703229292e-06,2.1654347000616506e-06,2.6065210327574795e-06,2.182253382667179e-06,2.3681148849025242e-06,2.3087064949380077e-06,2.7914688428480965e-06,2.6826700550513476e-06,2.2876440001686407e-06,2.628818005290382e-06,2.1535623059413056e-06,2.390845186303089e-06,2.903257617915594e-06,2.7648826063147856e-06,path:hsa04550
9,4.817420483856495e-10,5.055297496043223e-10,6.225490055228988e-10,6.142792130417459e-10,6.064131146288643e-10,4.773280851211844e-10,5.949280645548046e-10,5.245741372837988e-10,5.018667631783913e-10,5.176365283457166e-10,4.606239992278145e-10,5.01873857604544e-10,4.913245835601958e-10,5.204534514024783e-10,5.51682662246214e-10,5.182381580506812e-10,5.737504884586965e-10,5.184662005508243e-10,5.574130831713645e-10,6.22391537364728e-10,6.257855234535162e-10,6.092142343782185e-10,4.897355812168846e-10,5.430190000718904e-10,5.848023914123378e-10,6.050382498251411e-10,5.320625535684375e-10,5.968888704598218e-10,6.034207149271745e-10,6.415431615682145e-10,4.938452325986759e-10,5.429473933962821e-10,6.304709445826959e-10,5.20239067249855e-10,6.236770020755928e-10,6.224787466162039e-10,5.296980363895886e-10,5.347028414725242e-10,6.259652527395051e-10,4.834684027192014e-10,5.410294408075235e-10,5.35092650653394e-10,6.143125602857752e-10,4.920852614673125e-10,5.734669064089479e-10,5.345193671095121e-10,5.03748526738029e-10,4.73089826475326e-10,4.80054955707582e-10,6.019922261262596e-10,6.097845327573371e-10,5.342730666419825e-10,5.526481551466692e-10,4.698764156125895e-10,6.038904209962669e-10,6.165935243947751e-10,5.150488865894611e-10,4.930571921150243e-10,5.992731711657631e-10,5.456514737838731e-10,4.795247706591969e-10,5.175205944108254e-10,5.250630705668575e-10,4.609825889189823e-10,5.55144082662166e-10,5.192056525313523e-10,5.056568814915683e-10,5.354863024094638e-10,4.823904901196065e-10,6.240912259469488e-10,6.005288501836421e-10,6.083441176353355e-10,4.439698983555699e-10,5.590116116600594e-10,5.412519746606826e-10,6.116869831359983e-10,5.09734533398244e-10,4.619929739946267e-10,5.602999152884223e-10,5.266276438817156e-10,4.960981028948155e-10,6.100240284256507e-10,5.981463417235961e-10,5.453015069461573e-10,5.566516482195815e-10,6.263404457966487e-10,4.966864613773734e-10,6.141705742645477e-10,4.913298068816334e-10,4.572102711920389e-10,5.26734797245516e-10,4.680841711509375e-10,5.115897114991673e-10,5.873218245912022e-10,5.988140665895915e-10,6.140491001391442e-10,4.704386173416508e-10,5.972325457975462e-10,4.842660682802098e-10,4.931032886794551e-10,4.678109611866354e-10,5.670364227666615e-10,4.709813438099138e-10,5.20977461088406e-10,5.029432233419123e-10,6.041210385953129e-10,5.881018329456489e-10,5.04821393806979e-10,5.754575955051275e-10,4.664855523330497e-10,5.251153926766309e-10,6.287909391617972e-10,5.947939041960549e-10,path:hsa00630
