,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,pathway_id
0,5.796426489558639e-10,6.603888690838302e-10,6.867003790964868e-10,5.425467894234711e-10,6.428595918042789e-10,6.683242232658794e-10,6.250240777378182e-10,5.208439890741931e-10,5.740125780255719e-10,5.71379851259522e-10,6.801727600354341e-10,5.802798816342005e-10,5.98899213995399e-10,7.059751491418073e-10,6.8843035338803e-10,6.890247072427787e-10,6.341868727769231e-10,6.157622777996448e-10,5.948765455130301e-10,7.130035736543163e-10,6.017907117826867e-10,5.935214081931478e-10,5.720204916983877e-10,7.319725185138364e-10,6.57521692843125e-10,7.034953396038056e-10,5.259521358934507e-10,6.505476905258331e-10,5.915176338777288e-10,5.781739115840922e-10,7.09671709032398e-10,7.050386398142258e-10,5.530609691669463e-10,5.85348500841598e-10,6.163566131138028e-10,7.073485749001326e-10,7.018300868054871e-10,5.963629854405861e-10,6.098612491179963e-10,7.044840462557475e-10,5.624623918027687e-10,6.875998369080665e-10,6.743797302932936e-10,5.304939019738364e-10,6.512593024909722e-10,5.282334656293456e-10,6.12671075604249e-10,6.468970909049674e-10,5.569789083429371e-10,5.392295867004992e-10,6.729013610847705e-10,6.740952861164271e-10,6.605275007869182e-10,5.860739607737616e-10,6.893382230655076e-10,7.176207832513976e-10,5.819073561253703e-10,6.663444108095885e-10,5.793305496342472e-10,6.078847832382857e-10,6.484898982000698e-10,7.189953696506865e-10,6.655237023019856e-10,6.152554373859897e-10,6.390042966483502e-10,7.054209634763198e-10,5.527440845189281e-10,5.470216591993698e-10,5.399563222252871e-10,7.220494980813713e-10,7.165971146080001e-10,6.495455753188609e-10,7.246201175774536e-10,7.278101707850177e-10,6.592756289937962e-10,7.083634497414691e-10,6.250421807703568e-10,6.252705656178677e-10,7.114444175309233e-10,5.586725597636838e-10,7.294861122337438e-10,6.370366542356455e-10,5.741389469821209e-10,6.326226754669801e-10,7.063656862854816e-10,6.309832311706009e-10,7.147535625132757e-10,5.802270873028276e-10,6.547064673369267e-10,5.407828719459187e-10,5.946780369730075e-10,7.327544475224049e-10,7.296025211850905e-10,6.221514023579787e-10,6.330478093524775e-10,6.003305735367762e-10,5.599857944220663e-10,5.434291759863728e-10,5.546821194627052e-10,5.447848370779356e-10,6.475531126176901e-10,7.085922610225612e-10,6.872349154441909e-10,5.774580074722586e-10,5.462820500155862e-10,7.139210362333049e-10,7.097333286848364e-10,6.723730636457609e-10,5.395716958218565e-10,6.66932657393835e-10,5.228055288515431e-10,6.939949649095964e-10,7.095594846923211e-10,path:hsa00190
1,5.308176750074332e-10,6.031885506781121e-10,6.27330510320779e-10,4.939725640754835e-10,5.875815071241069e-10,6.082784956434842e-10,5.696274749287277e-10,4.788716733573354e-10,5.259012447536896e-10,5.221253216801717e-10,6.210903419787439e-10,5.2942472100138e-10,5.475696263508127e-10,6.472467087800605e-10,6.285937901392196e-10,6.302680345676997e-10,5.793370486674258e-10,5.631974791219417e-10,5.4691478085315e-10,6.514459704537002e-10,5.544370514210743e-10,5.439306711477938e-10,5.219165323827321e-10,6.699855102318955e-10,5.983521592264128e-10,6.408816677071275e-10,4.81241941656811e-10,5.937122005102267e-10,5.389010101707227e-10,5.29402090542054e-10,6.471836188587974e-10,6.448779262308024e-10,5.038288959507773e-10,5.320674828620237e-10,5.619432009455819e-10,6.454254752919304e-10,6.412365833705425e-10,5.45547576946176e-10,5.572707300061592e-10,6.422030704226432e-10,5.135046677827657e-10,6.285053073960558e-10,6.140530969657233e-10,4.829015072217047e-10,5.952784949463578e-10,4.816228601275531e-10,5.572383746363179e-10,5.921048889111969e-10,5.075436374860095e-10,4.949302847655966e-10,6.167460519128968e-10,6.166576911668185e-10,6.039473376924635e-10,5.364509775626447e-10,6.312834947354772e-10,6.543185138245354e-10,5.333537329888137e-10,6.063377224398998e-10,5.293979513552307e-10,5.556173383651903e-10,5.899643019100213e-10,6.555457783605753e-10,6.101430903813664e-10,5.612248559650127e-10,5.854579822867204e-10,6.426882789731749e-10,5.038949225161654e-10,5.002850810461494e-10,4.968913704838858e-10,6.581548167412069e-10,6.557627153204986e-10,5.941542395207118e-10,6.639942595142912e-10,6.62318150273221e-10,6.033802255272976e-10,6.476167520820544e-10,5.715762563695548e-10,5.707482447233646e-10,6.495489942037442e-10,5.122030503802649e-10,6.676820222655137e-10,5.826206002186884e-10,5.24631106956239e-10,5.78442104191785e-10,6.465268214077697e-10,5.793009026738623e-10,6.526371935651068e-10,5.317752824145384e-10,6.011778557164871e-10,4.958226934446783e-10,5.413750152060652e-10,6.690782266224828e-10,6.647456395627485e-10,5.716208288760826e-10,5.763633435706316e-10,5.48918574265377e-10,5.128936061676149e-10,4.952649009854228e-10,5.071501228162086e-10,4.993152870016288e-10,5.926791640480864e-10,6.472667773005948e-10,6.273980357075012e-10,5.296209445990321e-10,4.986810415832293e-10,6.506795934778267e-10,6.498789004646694e-10,6.15189586956211e-10,4.940078299472171e-10,6.090648365709617e-10,4.782820004454636e-10,6.346606006230217e-10,6.474594106983079e-10,path:hsa00072
2,5.031626679314085e-10,5.743739738931659e-10,5.97031088614074e-10,4.696907052434618e-10,5.597924078231657e-10,5.812231710497121e-10,5.429664826756974e-10,4.5386230475576784e-10,5.003939343978684e-10,4.97862475512958e-10,5.925168285296884e-10,5.045599993090705e-10,5.218623714862371e-10,6.161127689159483e-10,5.991324303147807e-10,5.993195602884229e-10,5.527720565017687e-10,5.37427127558487e-10,5.184335272157488e-10,6.194566993421337e-10,5.255581473158569e-10,5.161248485638561e-10,4.971318485242361e-10,6.368362879284582e-10,5.722704730376952e-10,6.117036587003344e-10,4.583543052132375e-10,5.650176301279974e-10,5.155689291471523e-10,5.040732503032789e-10,6.185610374074435e-10,6.149967279607132e-10,4.801147558805404e-10,5.093116599120946e-10,5.359629011123772e-10,6.162301669047934e-10,6.093980880694247e-10,5.206241301172114e-10,5.310832984867055e-10,6.119379027864484e-10,4.908494343343718e-10,5.988760137425263e-10,5.866845835846377e-10,4.622122839136309e-10,5.670238528313917e-10,4.584135706226991e-10,5.326186802169409e-10,5.644920066541471e-10,4.839969161460586e-10,4.683530943437543e-10,5.860434985836137e-10,5.86620777172556e-10,5.748892179324562e-10,5.103848082413021e-10,6.012652201530354e-10,6.247386115624036e-10,5.055738144526577e-10,5.799322482409085e-10,5.049415306699316e-10,5.297495120987995e-10,5.632871305197243e-10,6.245472988315506e-10,5.802897481124243e-10,5.348149472687932e-10,5.569185728323956e-10,6.135591762741307e-10,4.792457444996064e-10,4.766584090131602e-10,4.701937156861412e-10,6.281476167830654e-10,6.235881403186462e-10,5.655038562891375e-10,6.300791307951665e-10,6.324294627376168e-10,5.735395041473005e-10,6.160771283388812e-10,5.448598193459415e-10,5.446751970901644e-10,6.186143578795728e-10,4.86510278796647e-10,6.350608817740189e-10,5.528431633743524e-10,4.983158496018384e-10,5.513744443371644e-10,6.149703823996702e-10,5.505459873047896e-10,6.225598017125214e-10,5.062328407710696e-10,5.711642596254441e-10,4.704738587550279e-10,5.17393027630326e-10,6.389062879970088e-10,6.34169528466548e-10,5.430051731798974e-10,5.498922668913582e-10,5.235020704067255e-10,4.880763970147661e-10,4.717495997043255e-10,4.838996670409073e-10,4.750929298273927e-10,5.646537205683483e-10,6.173172287111116e-10,5.970518958947361e-10,5.021557465913724e-10,4.743704989126963e-10,6.200267065174986e-10,6.191365925454978e-10,5.856552380184436e-10,4.689066561183727e-10,5.806639306012415e-10,4.548191782438996e-10,6.042766213809612e-10,6.155231260192323e-10,path:hsa01040
3,2.2711906165592203e-07,2.6084111796426705e-07,2.702960786139415e-07,2.1381413238983541e-07,2.5328426713152613e-07,2.6435711402477215e-07,2.4721803237893625e-07,2.0296585017712677e-07,2.26376804324713e-07,2.2565254537872143e-07,2.6956117605578645e-07,2.2741673024187998e-07,2.3722580037245883e-07,2.7836653100489017e-07,2.710876665528314e-07,2.6874452715205043e-07,2.515192285391887e-07,2.437110812576976e-07,2.350026244344485e-07,2.7994596554844387e-07,2.3749500064677143e-07,2.3356594132789443e-07,2.2710444309686088e-07,2.879522202879578e-07,2.614334964635808e-07,2.7584510425208696e-07,2.0373396558448942e-07,2.553821917202066e-07,2.3252417340023558e-07,2.2966816030555672e-07,2.816610863892285e-07,2.7740333397012595e-07,2.1548875262500336e-07,2.296119901478269e-07,2.4384168915811927e-07,2.7903778424048366e-07,2.7444543258685934e-07,2.3707511141349565e-07,2.4154395285463773e-07,2.749240749562767e-07,2.2196301696369974e-07,2.7003556873207254e-07,2.645186203030648e-07,2.1148993096484984e-07,2.571647290391761e-07,2.04337145640424e-07,2.4003977936661636e-07,2.570416335660297e-07,2.1730847843427055e-07,2.098801978598924e-07,2.661123175881346e-07,2.659465235964642e-07,2.6001732339445715e-07,2.3090773812766692e-07,2.708912275056725e-07,2.8421798266322725e-07,2.274240717101981e-07,2.6473716488993655e-07,2.291667210626975e-07,2.379329953348644e-07,2.554011798092687e-07,2.827585991478396e-07,2.623076963972282e-07,2.4066005835325804e-07,2.514722946582019e-07,2.7873490587166897e-07,2.170456999431367e-07,2.156581447861542e-07,2.1056152155754275e-07,2.85204805055461e-07,2.8146496171093776e-07,2.5608133443844873e-07,2.8489883736835015e-07,2.8717782434432265e-07,2.584633021097378e-07,2.792688150016611e-07,2.4714867423235887e-07,2.461188980965525e-07,2.807891942958895e-07,2.215716124719858e-07,2.878586001266231e-07,2.505114332301761e-07,2.2506212653441698e-07,2.4976102400774727e-07,2.7977542471461333e-07,2.507066885756852e-07,2.826042627596067e-07,2.2987878322643144e-07,2.5849880349679937e-07,2.12331121113288e-07,2.335810682061495e-07,2.903289294348829e-07,2.876743086746482e-07,2.4533182951414286e-07,2.479428140559352e-07,2.3681192960759883e-07,2.2021602297739986e-07,2.1251718060096256e-07,2.186478480226446e-07,2.1551381194604288e-07,2.57245105843768e-07,2.803953139270108e-07,2.6882571325164763e-07,2.2808843789400944e-07,2.1400904931934965e-07,2.78702491389606e-07,2.8282210271250653e-07,2.6557854827745734e-07,2.1139210977892254e-07,2.647541680167985e-07,2.057129242251578e-07,2.7284155836610716e-07,2.77028592510031e-07,path:hsa04672
4,7.093974617301045e-08,8.152659925710556e-08,8.429579840170243e-08,6.684270056820145e-08,7.917422982137438e-08,8.240389085345203e-08,7.716275450952241e-08,6.32249091909052e-08,7.034144036767522e-08,7.026910735741066e-08,8.416923271745013e-08,7.119857404966062e-08,7.397189970050725e-08,8.697352369874412e-08,8.489596380366405e-08,8.393718854130286e-08,7.860208528985455e-08,7.598622415097658e-08,7.31899220865569e-08,8.74759836152406e-08,7.411479501729798e-08,7.286065692839195e-08,7.128281052414906e-08,8.996322111776166e-08,8.163332995624344e-08,8.624392839122926e-08,6.366987865431311e-08,7.984436754628972e-08,7.246983155475116e-08,7.153195295102273e-08,8.787819934845692e-08,8.645415095380541e-08,6.733424329459563e-08,7.175412391330114e-08,7.619256804559698e-08,8.711101655532456e-08,8.588592028060479e-08,7.38738149360269e-08,7.524112933714611e-08,8.594177606384672e-08,6.91516132204032e-08,8.413364311167262e-08,8.2777199368302e-08,6.57953379202139e-08,8.014158432645927e-08,6.388265300210881e-08,7.481763948585148e-08,8.035876402148964e-08,6.775325441395564e-08,6.572337867319661e-08,8.312204223645935e-08,8.295272694612967e-08,8.132133101990029e-08,7.223483278050507e-08,8.473779857910088e-08,8.878090237128889e-08,7.089546365173433e-08,8.272505358613162e-08,7.156469343766202e-08,7.414236464275637e-08,7.993855912441336e-08,8.843211389699396e-08,8.203639088314157e-08,7.521546443895813e-08,7.841741736086878e-08,8.683889972995014e-08,6.76593244763991e-08,6.735167715204146e-08,6.578315932887655e-08,8.890923531626358e-08,8.773265167347744e-08,8.005117728967956e-08,8.889578906341462e-08,8.958114006414067e-08,8.096652278198714e-08,8.727333516438455e-08,7.69328357284204e-08,7.690545800185633e-08,8.762003812523777e-08,6.914782661901644e-08,8.978251901910937e-08,7.81299829481424e-08,7.01976322630434e-08,7.809741654204144e-08,8.71847177423485e-08,7.84510938674193e-08,8.832507503664969e-08,7.158421127096686e-08,8.076825454822706e-08,6.620124683577558e-08,7.282303636186289e-08,9.060462131873494e-08,8.981731267128949e-08,7.654735092373123e-08,7.718706321291692e-08,7.371184021408205e-08,6.885695189542726e-08,6.631373928721643e-08,6.8322213386802e-08,6.719577706036264e-08,8.004234729537592e-08,8.747279522108288e-08,8.384863764373139e-08,7.121219367503155e-08,6.667994650550516e-08,8.692658797167193e-08,8.805578209292545e-08,8.262367317573016e-08,6.594970254292931e-08,8.259498591179673e-08,6.400572493636e-08,8.52619285970233e-08,8.670847326105355e-08,path:hsa03460
5,1.1818737730913175e-06,1.3568690323508988e-06,1.4055671407358882e-06,1.116654318471413e-06,1.317272223066647e-06,1.374650694210247e-06,1.2870698594104537e-06,1.05273847542932e-06,1.1739077630469116e-06,1.170287507193048e-06,1.4007843284702508e-06,1.1844660817375837e-06,1.2324850882334164e-06,1.4463658813271091e-06,1.4098057902712014e-06,1.3977824226075068e-06,1.3086385133468641e-06,1.2648939223469736e-06,1.2196402456353917e-06,1.4570506258195822e-06,1.2331497241772478e-06,1.2168182826985025e-06,1.185409796596638e-06,1.499935806196151e-06,1.3596871850481918e-06,1.435021993178967e-06,1.0575742829236542e-06,1.3294711420370599e-06,1.208035503788921e-06,1.1916068560228128e-06,1.463150778065565e-06,1.4398212597508442e-06,1.1218608795858496e-06,1.1940536017378363e-06,1.2684325582221337e-06,1.4519675690740885e-06,1.4293555059860398e-06,1.2311364479289494e-06,1.252971154129729e-06,1.430494119094573e-06,1.1512267606805456e-06,1.401353506918244e-06,1.3787121268356587e-06,1.099376892521479e-06,1.3359064270146142e-06,1.0627099811272511e-06,1.2497941733543948e-06,1.3368127765040837e-06,1.1297979350446335e-06,1.094582484749447e-06,1.3843057700654676e-06,1.383762676687787e-06,1.3536084371676563e-06,1.2009344753194077e-06,1.4090747141625346e-06,1.478497610733836e-06,1.1828817747985482e-06,1.3751742240955664e-06,1.192368945757968e-06,1.2350442898584125e-06,1.3308085520840895e-06,1.4732586224633592e-06,1.3638412260387624e-06,1.2528678856664309e-06,1.3072702325533134e-06,1.4497466637933953e-06,1.1280426308964051e-06,1.1231734864856828e-06,1.09334426539713e-06,1.483195531323607e-06,1.4622083702933743e-06,1.3329207258969415e-06,1.482050659799263e-06,1.495089381501633e-06,1.3468096702758736e-06,1.4542027621581312e-06,1.2830685599475472e-06,1.2811262646219673e-06,1.4597232048290492e-06,1.1503720638859071e-06,1.4963947894354304e-06,1.3032326067666298e-06,1.1705366284734469e-06,1.2983468426549549e-06,1.4522200604276375e-06,1.3043232312799252e-06,1.4700202559297307e-06,1.192816235038218e-06,1.3425036230908423e-06,1.1034581465428267e-06,1.2136086579014852e-06,1.509315604728113e-06,1.497042248923797e-06,1.2749621751497232e-06,1.2887462199040617e-06,1.2300858905487363e-06,1.1465981488217842e-06,1.109390398783085e-06,1.1357468060721439e-06,1.1193479031982614e-06,1.3356324487770737e-06,1.4571488078548937e-06,1.395709886269898e-06,1.1842571026098108e-06,1.1143548945166536e-06,1.450301007857399e-06,1.4677454714672852e-06,1.3787468996243527e-06,1.0971255255401518e-06,1.3762469375391536e-06,1.0678957225977648e-06,1.4186464916758485e-06,1.444842893545559e-06,path:hsa04310
6,6.520041320729672e-10,7.441455797081268e-10,7.73765644185329e-10,6.095270433236366e-10,7.260996143909789e-10,7.533857340125749e-10,7.033768294136304e-10,5.86896750357301e-10,6.482204459446601e-10,6.452874023179636e-10,7.679615041207605e-10,6.535991548422178e-10,6.76628752586774e-10,7.978527031591319e-10,7.766176330277608e-10,7.772100041349089e-10,7.157312148016625e-10,6.959053773653452e-10,6.70982503685025e-10,8.02412102605189e-10,6.802262050151196e-10,6.688045586413213e-10,6.44207755839533e-10,8.254669533503109e-10,7.41480375136918e-10,7.932215710112873e-10,5.939824470276773e-10,7.314861164465034e-10,6.6748407486489e-10,6.522497739964385e-10,8.011350862318177e-10,7.967902333157816e-10,6.220477210374086e-10,6.58959989978494e-10,6.946934155416237e-10,7.9830442311365e-10,7.904268633652606e-10,6.743375086915001e-10,6.875777870051936e-10,7.932845777527189e-10,6.347168579153179e-10,7.762257193716576e-10,7.600470699611456e-10,5.978389075861305e-10,7.334927684722523e-10,5.931736647759653e-10,6.908892018193346e-10,7.320751425361658e-10,6.269164345870165e-10,6.054409460275072e-10,7.596457272770686e-10,7.599446577650623e-10,7.448972936641906e-10,6.609982661837608e-10,7.789480427405542e-10,8.09501640401328e-10,6.549401424469655e-10,7.512922580871468e-10,6.538348944048682e-10,6.8673979774024e-10,7.299488541479214e-10,8.092678496232871e-10,7.517861383330971e-10,6.937089366920999e-10,7.218420547465247e-10,7.94754797107598e-10,6.218145917370706e-10,6.178724331773639e-10,6.08743942844714e-10,8.136705976820998e-10,8.083188588544739e-10,7.327518183824006e-10,8.165595005452003e-10,8.192342292070467e-10,7.437328730747712e-10,7.982338034372187e-10,7.061629972636844e-10,7.060706795342222e-10,8.011715685095544e-10,6.309976539802057e-10,8.228256946680398e-10,7.16673418492369e-10,6.459852117826624e-10,7.146387685316345e-10,7.967261016661603e-10,7.124323561810426e-10,8.062289081694982e-10,6.54064775730857e-10,7.398141385495865e-10,6.092492811123699e-10,6.702121990367557e-10,8.277334155973937e-10,8.215493516552044e-10,7.038483323045973e-10,7.117199526169659e-10,6.779577444716231e-10,6.315603477119732e-10,6.105918699288625e-10,6.273062727082916e-10,6.139717754118582e-10,7.308259557576462e-10,7.992175613948747e-10,7.740644815911308e-10,6.508764769688042e-10,6.131937984144243e-10,8.035662346417155e-10,8.015828769295623e-10,7.588030304297807e-10,6.073007282180304e-10,7.523665473883735e-10,5.88089748169814e-10,7.829312951074316e-10,7.97709477392688e-10,path:hsa00071
7,1.9428095554939323e-06,2.2310064746242653e-06,2.310882222069014e-06,1.833717407933029e-06,2.1660850301273235e-06,2.2608921843897307e-06,2.114140830048376e-06,1.732509681315059e-06,1.932281548265628e-06,1.9271870214474826e-06,2.3034217187824184e-06,1.9478430968437433e-06,2.0271413153473763e-06,2.3792079319277693e-06,2.317508828508297e-06,2.2993720734973542e-06,2.1522465413374627e-06,2.0802634158709127e-06,2.0040898272789145e-06,2.3963047797911494e-06,2.027129487210471e-06,1.99934649405211e-06,1.9459073374103414e-06,2.4656204711942784e-06,2.2346320434836097e-06,2.3602706165913343e-06,1.7399467024939111e-06,2.185338975105326e-06,1.987570715578572e-06,1.9621966434640845e-06,2.406468024830608e-06,2.3695476444819723e-06,1.84580956190447e-06,1.9629267845637183e-06,2.0848288917982093e-06,2.3851781140965906e-06,2.349759948919413e-06,2.0252905193899985e-06,2.06187124200274e-06,2.352041385716045e-06,1.8938983316378029e-06,2.305170215982458e-06,2.2652651821883795e-06,1.8066216765033915e-06,2.1974127512328435e-06,1.7488813673551848e-06,2.056083957137376e-06,2.198912819506154e-06,1.85875310229298e-06,1.7982990706110134e-06,2.276495360171075e-06,2.275692877381584e-06,2.2242723001405053e-06,1.9735163525908083e-06,2.316453882075301e-06,2.4297146515678163e-06,1.9445611290761355e-06,2.261833669478188e-06,1.9595084791789336e-06,2.0329526992678287e-06,2.1876576630882237e-06,2.420256061390628e-06,2.242269011410379e-06,2.061018327279223e-06,2.149982845812431e-06,2.3841429947659097e-06,1.8556959594594389e-06,1.8461716838389703e-06,1.79832539119218e-06,2.4384950370055135e-06,2.4048495828018877e-06,2.1898745523896915e-06,2.4373200217836897e-06,2.457262497426435e-06,2.213841779662342e-06,2.3882791652488483e-06,2.1088630691127477e-06,2.1056182076737426e-06,2.4002274347436976e-06,1.8930379478016909e-06,2.4602992258812366e-06,2.1442901520967394e-06,1.9247444977829248e-06,2.1353063779980194e-06,2.38933763537078e-06,2.1430459863205353e-06,2.4176867903874205e-06,1.9616986675220994e-06,2.207780032848929e-06,1.8135259713418718e-06,1.994133634726228e-06,2.4816643946441085e-06,2.4622452189859144e-06,2.095815174099044e-06,2.1185850471684507e-06,2.0219635818897905e-06,1.8833071008368124e-06,1.8227510489566532e-06,1.8675958582841505e-06,1.8395264153103013e-06,2.196045623878783e-06,2.395999645790253e-06,2.2977934150448455e-06,1.947808873978667e-06,1.8306597951293308e-06,2.384331455712537e-06,2.4145565018112503e-06,2.267029078453795e-06,1.8050658923532176e-06,2.2620591045099433e-06,1.7555309213243164e-06,2.3329942050331994e-06,2.3747332878488617e-06,path:hsa04670
8,2.2935894084993522e-06,2.6333352071907202e-06,2.7276119195103662e-06,2.1627873289782456e-06,2.5554783360592895e-06,2.6666825521140454e-06,2.494301948884144e-06,2.0450300533829758e-06,2.2811746947864305e-06,2.273213420995483e-06,2.7199786594266543e-06,2.2963211141964647e-06,2.3925439485365942e-06,2.8073805612236655e-06,2.735120970311539e-06,2.7117872432046673e-06,2.539632212547226e-06,2.456117041315671e-06,2.3668183763334067e-06,2.8265487388691705e-06,2.3953792802646107e-06,2.3587860301947546e-06,2.2982444474257567e-06,2.9083490839526334e-06,2.6381789282476616e-06,2.783480040272706e-06,2.054082069357583e-06,2.5782348515478864e-06,2.3445875763797674e-06,2.314680784436227e-06,2.8407379766714603e-06,2.795831718598517e-06,2.1774169761181262e-06,2.314492216732496e-06,2.461706515770721e-06,2.816076753533038e-06,2.770922105087983e-06,2.38937230592562e-06,2.43279739164126e-06,2.774038580877159e-06,2.237209773400462e-06,2.719653177569856e-06,2.6711987877276228e-06,2.1341044672994e-06,2.5921760246622093e-06,2.062407508865959e-06,2.424010064837826e-06,2.596878533954075e-06,2.1914715160840262e-06,2.1214444687574872e-06,2.6867507265383018e-06,2.684395454335699e-06,2.6251297386409657e-06,2.33045866991983e-06,2.7333821602518915e-06,2.8662571873469966e-06,2.2941546993471667e-06,2.6698382992348966e-06,2.3120265826067192e-06,2.3989455323847364e-06,2.5799976665069442e-06,2.854948899966751e-06,2.647973527639368e-06,2.429455955918204e-06,2.5350289050662206e-06,2.8117748073548896e-06,2.1884425717083517e-06,2.178795644471505e-06,2.122779094963043e-06,2.877213879918858e-06,2.836140892765284e-06,2.584890898203548e-06,2.8757736099809433e-06,2.8986861215658377e-06,2.6120182469161335e-06,2.8186029086036346e-06,2.489692457743281e-06,2.4848998119353954e-06,2.8314986628340923e-06,2.2348946928593943e-06,2.904159668652999e-06,2.528125808552529e-06,2.2706062838733316e-06,2.520411208028495e-06,2.82025367462808e-06,2.530549002141044e-06,2.85116899456455e-06,2.3171580657502593e-06,2.607089001530548e-06,2.1412732070206007e-06,2.3544245385444085e-06,2.92770741083863e-06,2.904614017086156e-06,2.474270894741867e-06,2.4991056888889135e-06,2.3852590031306873e-06,2.2222041486677253e-06,2.1504598008649755e-06,2.2032758884222327e-06,2.172270318693075e-06,2.5922356387980844e-06,2.8272924272491198e-06,2.7095422123263943e-06,2.2990122666724024e-06,2.1586136737754882e-06,2.8106366251421614e-06,2.850981704773707e-06,2.6750054976487274e-06,2.1296483124146347e-06,2.6709014938674646e-06,2.0725959631901607e-06,2.752979824574285e-06,2.800282673943163e-06,path:hsa04550
9,5.028143246189072e-10,5.743010031762232e-10,5.969701297688807e-10,4.705997161766857e-10,5.59806355188356e-10,5.811907537130976e-10,5.417344505710219e-10,4.5596950618949295e-10,4.999984198472758e-10,4.985622817777136e-10,5.914894978518637e-10,5.030258530413817e-10,5.209393037777385e-10,6.131181955399494e-10,5.998865456153492e-10,6.00971788115927e-10,5.530754942363349e-10,5.389359652403581e-10,5.166905083827682e-10,6.199354652846836e-10,5.240961526418237e-10,5.160048411929085e-10,5.003116415544381e-10,6.367326368810202e-10,5.708517214892522e-10,6.129058392801103e-10,4.6252353091400333e-10,5.657279659030926e-10,5.168259367662383e-10,5.041413856754276e-10,6.163338179522312e-10,6.141568758196316e-10,4.797302336546271e-10,5.101291217150977e-10,5.339771061431575e-10,6.158943757368479e-10,6.112768935312846e-10,5.190010344190958e-10,5.286849103431801e-10,6.138442030993533e-10,4.922192989396826e-10,5.989816148068676e-10,5.869616776946221e-10,4.6090565349597766e-10,5.676900624543744e-10,4.593541453970556e-10,5.344293754806539e-10,5.634549772080396e-10,4.857528870029301e-10,4.675947362556631e-10,5.849401220877117e-10,5.866338047184522e-10,5.738934864361897e-10,5.115301652897844e-10,6.008057791297378e-10,6.234275156641351e-10,5.082220661821406e-10,5.790550436906419e-10,5.038652481775089e-10,5.312908465122138e-10,5.635536670406748e-10,6.259872614129144e-10,5.804088046806912e-10,5.370099478747119e-10,5.574594449736793e-10,6.125143128723307e-10,4.797279055435825e-10,4.789734189264883e-10,4.698572027021077e-10,6.277156609285046e-10,6.234228478232758e-10,5.669108409282328e-10,6.303433271021869e-10,6.318490383666891e-10,5.750696835732551e-10,6.165561373073707e-10,5.462866672406337e-10,5.439939556834549e-10,6.18019466203496e-10,4.865783149251349e-10,6.349471775858125e-10,5.539686436120059e-10,4.98951856232128e-10,5.51788866499519e-10,6.140999554652544e-10,5.478321059845614e-10,6.203935904822753e-10,5.056480554884571e-10,5.711848664823232e-10,4.684965212821591e-10,5.182743703991848e-10,6.366088417910425e-10,6.343313885836057e-10,5.432767551517336e-10,5.507419020368053e-10,5.222762727404019e-10,4.85127383256632e-10,4.723205431589089e-10,4.82959779710444e-10,4.759833792913783e-10,5.62531078757484e-10,6.166037887879566e-10,5.983249858280052e-10,5.01304588902936e-10,4.761289043860044e-10,6.214562867596098e-10,6.157525337923213e-10,5.843581495156773e-10,4.708210363176029e-10,5.790975335326416e-10,4.5372242299456834e-10,6.05181262688423e-10,6.168887042666333e-10,path:hsa00630
